transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
1,750.0,432244.5761681953,4007647.5994343623,True,9.04369068145752,7.717106819152832,10.225062370300293,0.8899999856948853,0.0,127.99999999999986,True,90.0,0.018407769454627715,0.04448854575038497,"[0.018407769454627715, 0.07976700097005343]",0.057967917611150846,0.06030322262814208,"[0.055223308363883145, 0.06749515466696829]",0.2956964874199921,0.25577309874966786,"[0.19021361769781972, 0.3129320807286712]",106.20506393994832,96.75237085099558,117.40210711470975,96.75237085099558
1,800.0,432291.44169184426,4007665.02420676,True,9.359686851501465,8.139785766601562,10.470123291015625,0.8799999952316284,0.0,101.89180827750278,True,71.56505117707799,0.018407769454627715,0.052174639911812905,"[0.018407769454627715, 0.09203884727313857]",0.05732703080932864,0.06008865032182324,"[0.055223308363883145, 0.06749515466696829]",0.296423268710225,0.3001383485228112,"[0.2883883881225009, 0.3129320807286712]",107.56160195514511,97.96363553089404,118.92848992800886,97.96363553089404
1,850.0,432338.3072154933,4007682.4489791575,True,9.653512001037598,8.511496543884277,10.752626419067383,0.8700000047683716,0.0,94.23490225053564,True,90.0,0.06839169460602176,0.05576999236494931,"[0.018407769454627715, 0.09203884727313857]",0.05654559328575603,0.05973157757093939,"[0.055223308363883145, 0.06749515466696829]",0.2986197353187356,0.3005394086983446,"[0.2883883881225009, 0.3129320807286712]",108.83070991089791,99.09554899011019,120.35790516225987,99.09554899011019
1,900.0,432385.17273914226,4007699.873751555,True,9.932619094848633,8.853357315063477,11.003437042236328,0.8600000143051147,0.0,101.89180827750278,True,90.0,0.06223315835405685,0.05174846380644084,"[0.018407769454627715, 0.07976700097005343]",0.05565489961847286,0.055487671077553674,"[0.042951462060798, 0.06749515466696829]",0.2994294414530398,0.3005981168706483,"[0.2883883881225009, 0.3129320807286712]",110.25900670473672,100.3684971006327,121.96765274405159,100.3684971006327
1,950.0,432432.03826279123,4007717.2985239523,True,10.201178550720215,9.146683692932129,11.245707511901855,0.8600000143051147,0.0,118.6374546152431,True,90.0,0.05304279016687797,0.0544933605843044,"[0.030679615757712858, 0.07976700097005343]",0.05464047949431619,0.054895051807718254,"[0.042951462060798, 0.06749515466696829]",0.29948907799325797,0.30060107006685055,"[0.2883883881225009, 0.3129320807286712]",111.50919075517699,101.48026713641123,123.37933694025234,101.48026713641123
1,1000.0,432478.9037864402,4007734.72329635,True,10.454061508178711,9.398823738098145,11.437560081481934,0.8500000238418579,0.0,124.17824001860234,True,63.43494882292201,0.047072586710103614,0.048158400305016245,"[0.030679615757712858, 0.06749515466696829]",0.054073023821397705,0.054639477273442615,"[0.042951462060798, 0.06749515466696829]",0.29957026080263627,0.30060509995900403,"[0.2883883881225009, 0.3129320807286712]",113.14602452520116,102.93653096796446,125.22690231842357,102.93653096796446
1,1050.0,432525.76931008924,4007752.1480687475,False,10.694432258605957,9.708131790161133,11.61335563659668,2.5,0.0,119.85013472883753,True,,,,,,,,,,,,,,
1,1100.0,432572.6348337382,4007769.572841145,False,10.919790267944336,9.96652889251709,11.775910377502441,2.5,0.0,103.97144730968249,True,,,,,,,,,,,,,,
1,1150.0,432619.5003573872,4007786.9976135427,False,11.148442268371582,10.213552474975586,12.041666030883789,2.5,0.0,104.03104688311235,True,,,,,,,,,,,,,,
1,1200.0,432666.36588103615,4007804.4223859403,False,11.366930961608887,10.44465446472168,12.197532653808594,2.5,0.0,104.03104688311235,True,,,,,,,,,,,,,,
1,1250.0,432713.2314046851,4007821.847158338,False,11.579012870788574,10.720351219177246,12.376896858215332,2.5399999618530273,0.0,99.45967230538379,False,,,,,,,,,,,,,,
1,1300.0,432760.09692833415,4007839.271930735,False,11.78321361541748,10.965860366821289,12.566598892211914,2.5399999618530273,0.0,99.45967230538379,True,,,,,,,,,,,,,,
1,1350.0,432806.9624519831,4007856.6967031327,False,11.971516609191895,11.214118957519531,12.684024810791016,2.5399999618530273,0.0,113.77777777777767,True,,,,,,,,,,,,,,
1,1400.0,432853.8279756321,4007874.1214755303,False,12.120811462402344,11.421734809875488,12.752449035644531,2.5799999237060547,0.0,113.4700050375516,True,,,,,,,,,,,,,,
1,1450.0,432900.6934992811,4007891.546247928,False,12.182284355163574,11.572681427001953,12.75212574005127,2.5899999141693115,0.0,134.9238468338506,True,,,,,,,,,,,,,,
1,1500.0,432947.5590229301,4007908.9710203256,False,12.237942695617676,11.698556900024414,12.750591278076172,2.5999999046325684,0.0,134.45778724835563,True,,,,,,,,,,,,,,
1,1550.0,432994.4245465791,4007926.395792723,False,12.297404289245605,11.802035331726074,12.757293701171875,2.5999999046325684,0.0,134.45778724835563,True,,,,,,,,,,,,,,
1,1600.0,433041.29007022805,4007943.820565121,False,12.36095905303955,11.916698455810547,12.77829360961914,2.609999895095825,0.0,134.45778724835563,True,,,,,,,,,,,,,,
1,1650.0,433088.155593877,4007961.245337518,False,12.422383308410645,11.938785552978516,12.817878723144531,2.619999885559082,0.0,127.12026448932349,True,,,,,,,,,,,,,,
1,1700.0,433135.021117526,4007978.6701099155,False,12.487552642822266,11.952354431152344,12.886387825012207,2.630000114440918,0.0,119.85013472883753,False,,,,,,,,,,,,,,
1,1750.0,433181.886641175,4007996.094882313,False,12.556624412536621,11.964481353759766,13.024600982666016,2.640000104904175,0.0,118.6374546152431,True,,,,,,,,,,,,,,
1,1800.0,433228.752164824,4008013.519654711,False,12.630090713500977,11.978594779968262,13.202013969421387,2.640000104904175,0.0,118.6374546152431,True,,,,,,,,,,,,,,
1,1850.0,433275.61768847296,4008030.9444271084,False,12.709157943725586,11.990477561950684,13.376562118530273,2.6500000953674316,0.0,124.17824001860234,True,,,,,,,,,,,,,,
1,1900.0,433322.48321212194,4008048.369199506,False,12.806057929992676,12.005681991577148,13.544590950012207,2.6500000953674316,0.0,120.47058823529395,True,,,,,,,,,,,,,,
1,1950.0,433369.3487357709,4008065.7939719036,False,12.964061737060547,12.130241394042969,13.698711395263672,2.6600000858306885,0.0,117.80582228695597,True,,,,,,,,,,,,,,
1,2000.0,433416.21425941994,4008083.218744301,False,13.144468307495117,12.332427978515625,13.852304458618164,2.6700000762939453,0.0,117.80582228695597,True,,,,,,,,,,,,,,
1,2050.0,433463.0797830689,4008100.6435166984,False,13.31961441040039,12.54256534576416,13.997213363647461,2.680000066757202,0.0,127.01156821934926,True,,,,,,,,,,,,,,
1,2100.0,433509.9453067179,4008118.068289096,False,13.489191055297852,12.755825996398926,14.133865356445312,2.690000057220459,0.0,127.01156821934926,True,,,,,,,,,,,,,,
1,2150.0,433556.81083036686,4008135.4930614936,False,13.65208911895752,12.977707862854004,14.287901878356934,2.690000057220459,0.0,143.1083505599863,False,,,,,,,,,,,,,,
1,2200.0,433603.6763540159,4008152.917833891,False,13.809815406799316,13.178805351257324,14.438899993896484,2.700000047683716,0.0,143.1083505599863,False,,,,,,,,,,,,,,
1,2250.0,433650.54187766486,4008170.342606289,False,13.960756301879883,13.353876113891602,14.580109596252441,2.700000047683716,0.0,152.64890726398542,False,,,,,,,,,,,,,,
1,2300.0,433697.40740131383,4008187.7673786865,False,14.108077049255371,13.52396297454834,14.716180801391602,2.7100000381469727,0.0,152.64890726398542,False,,,,,,,,,,,,,,
1,2350.0,433744.2729249628,4008205.192151084,False,14.252483367919922,13.683585166931152,14.849757194519043,2.7200000286102295,0.0,175.61455118592892,False,,,,,,,,,,,,,,
1,2400.0,433791.1384486118,4008222.616923481,False,14.397652626037598,13.823958396911621,14.987231254577637,2.7300000190734863,0.0,119.85013472883753,False,,,,,,,,,,,,,,
1,2450.0,433838.0039722608,4008240.041695879,False,14.547582626342773,13.956489562988281,15.182774543762207,2.75,0.0,102.51396775925747,False,,,,,,,,,,,,,,
1,2500.0,433884.8694959098,4008257.4664682765,False,14.707969665527344,14.087029457092285,15.425259590148926,2.759999990463257,0.0,110.06299658044091,False,,,,,,,,,,,,,,
1,2550.0,433931.73501955875,4008274.891240674,False,14.878979682922363,14.21645736694336,15.66162109375,2.7699999809265137,0.0,114.4866804479891,True,,,,,,,,,,,,,,
2,400.0,431996.7776419591,4007310.698418309,False,6.019985675811768,3.4913523197174072,8.100079536437988,1.090000033378601,0.0,87.48622415019622,True,,,,,,,,,,,,,,
2,450.0,432043.6017564101,4007328.234161974,False,6.535229682922363,4.673755645751953,8.469219207763672,1.090000033378601,0.0,90.77600403004124,True,,,,,,,,,,,,,,
2,500.0,432090.42587086116,4007345.7699056384,False,6.953286170959473,4.959304332733154,8.775361061096191,1.090000033378601,0.0,95.80139923967745,True,,,,,,,,,,,,,,
2,550.0,432137.24998531217,4007363.3056493034,True,7.41044807434082,5.405420303344727,9.077266693115234,0.9300000071525574,0.0,104.24045538494197,True,68.19859051364818,0.062084872200787164,0.06154112101895202,"[0.042951462060798, 0.07976700097005343]",0.06129633993811111,0.06577944976864587,"[0.055223308363883145, 0.07976700097005343]",0.29558164682005333,0.219129267747911,"[0.06749515466696829, 0.34974761963792655]",96.19937076877791,87.77990488341135,106.18560304482547,87.77990488341135
2,600.0,432184.0740997632,4007380.8413929683,True,7.84065580368042,5.961820602416992,9.342172622680664,0.9200000166893005,0.0,103.97144730968249,True,68.19859051364818,0.061040057536216843,0.05656532946519531,"[0.042951462060798, 0.06749515466696829]",0.0599708612460373,0.06503188364074336,"[0.055223308363883145, 0.07976700097005343]",0.2929136168785345,0.240691215321917,"[0.11658253987930886, 0.34974761963792655]",99.39923312892755,90.65338305823846,109.76825876028244,90.65338305823846
2,650.0,432230.89821421425,4007398.377136633,True,8.248941421508789,6.543264865875244,9.636333465576172,0.9100000262260437,0.0,113.77777777777767,True,68.19859051364818,0.018407769454627715,0.018407769454627715,"[0.018407769454627715, 0.018407769454627715]",0.05926591830806596,0.06064214263331319,"[0.055223308363883145, 0.06749515466696829]",0.29339183320457274,0.250651599494383,"[0.17794177139473458, 0.3129320807286712]",101.17504751504275,92.24764944419044,111.75696495924922,92.24764944419044
2,700.0,432277.72232866526,4007415.9128802978,True,8.630354881286621,7.1337571144104,9.936887741088867,0.8999999761581421,0.0,117.80582228695603,True,90.0,0.018407769454627715,0.04151876284624177,"[0.018407769454627715, 0.06749515466696829]",0.05902965101984738,0.06059207515373059,"[0.055223308363883145, 0.06749515466696829]",0.2942635815690627,0.25067940667466926,"[0.17794177139473458, 0.3129320807286712]",103.6519586451874,94.46771479850325,114.53478496013044,94.46771479850325
2,750.0,432324.54644311627,4007433.4486239622,True,8.981797218322754,7.643533706665039,10.207611083984375,0.8899999856948853,0.0,127.99999999999986,True,90.0,0.018407769454627715,0.04535505986479973,"[0.018407769454627715, 0.07976700097005343]",0.05816594417054628,0.06028705938541986,"[0.055223308363883145, 0.06749515466696829]",0.29522074743517057,0.2556726101533204,"[0.19021361769781972, 0.3129320807286712]",105.34729677505497,95.98574682504069,116.43772966520947,95.98574682504069
2,800.0,432371.37055756734,4007450.984367627,True,9.304230690002441,8.027785301208496,10.48949146270752,0.8799999952316284,0.0,102.39999999999988,True,90.0,0.04295768888585571,0.048110323699348374,"[0.018407769454627715, 0.07976700097005343]",0.057368720358021555,0.0600392496386807,"[0.055223308363883145, 0.06749515466696829]",0.29634449872823,0.3001083444502653,"[0.2883883881225009, 0.3129320807286712]",107.35167227245216,97.7760072562448,118.69247398621835,97.7760072562448
2,850.0,432418.19467201835,4007468.520111292,True,9.611533164978027,8.406107902526855,10.779030799865723,0.8700000047683716,0.0,113.77777777777767,True,90.0,0.04731670606992409,0.05587275580372764,"[0.018407769454627715, 0.09203884727313857]",0.056668051335439645,0.05993454924045605,"[0.055223308363883145, 0.06749515466696829]",0.29716185485483687,0.3003428093468438,"[0.2883883881225009, 0.3129320807286712]",108.60580554072583,98.89392984327736,120.10571953989731,98.89392984327736
2,900.0,432465.01878646936,4007486.0558549566,True,9.904074668884277,8.776028633117676,11.035125732421875,0.8600000143051147,0.0,109.43546878142905,True,90.0,0.05488494039467003,0.055544794565322075,"[0.030679615757712858, 0.07976700097005343]",0.05619652082277083,0.059779764500992864,"[0.055223308363883145, 0.06749515466696829]",0.2986447173827106,0.3005408259664833,"[0.2883883881225009, 0.3129320807286712]",109.32886100694672,99.53969021261136,120.91915305510015,99.53969021261136
2,950.0,432511.8429009204,4007503.5915986216,True,10.184610366821289,9.08178997039795,11.28954792022705,0.8600000143051147,0.0,117.80582228695603,True,90.0,0.05173347380231454,0.05439520535870679,"[0.042951462060798, 0.06749515466696829]",0.05477922164282794,0.05497595548717768,"[0.042951462060798, 0.06749515466696829]",0.2995006023065376,0.300601641564703,"[0.2883883881225009, 0.3129320807286712]",111.73804385592906,101.68391072407002,123.63761298952285,101.68391072407002
