collect_name,collect_id,acquisition_key,datetime_utc,station_id,station_km,roi_m,duration_s,T_resolvable_max_s,phase_at_Tmax_deg,min_complex_GB,incidence_deg,view_azimuth_deg,local_range_axis_deg,roi_lat,roi_lon,sicd_bytes,cphd_bytes
2024-03-08-14-17-37_UMBRA-04,1e02856d-3511-49ff-accb-06572534d1ac,collect:1e02856d-3511-49ff-accb-06572534d1ac,2024-03-08T14:17:37.400000Z,41053,2.8083759617275716,1000.0,12.800001,8.004414986040972,374.19352185304956,7.986032028,31.55305089457446,310.9067439357169,130.90674393571692,18.451642693784716,-66.11138620216781,7986032028.0,27798467904.0
2024-03-29-03-18-55_UMBRA-07,4d09d014-2ee8-4207-ae17-5150806ef574,collect:4d09d014-2ee8-4207-ae17-5150806ef574,2024-03-29T03:18:55.700000Z,41118,0.6590133505391653,1000.0,9.400001,8.004414986040972,274.7983753760791,8.383435342,44.774889050224665,117.97068700912212,297.9706870091221,28.613819169366305,-80.59392958798257,8383435342.0,
2025-11-19-06-43-23_UMBRA-09,f95504de-11b4-4888-8ec7-a6c9eb355f49,collect:f95504de-11b4-4888-8ec7-a6c9eb355f49,2025-11-19T06:43:23.300000Z,46256,5.555654490671755,1500.0,12.6,9.803366202643659,300.75383690195207,8.671329524,40.96867833985978,219.75990108423548,39.75990108423548,33.74514726323332,-118.22673156106076,8671329524.0,
2025-03-22-02-27-54_UMBRA-08,5cc68dc4-f878-42dc-961a-41d900fd06cd,collect:5cc68dc4-f878-42dc-961a-41d900fd06cd,2025-03-22T02:27:54.800000Z,41052,8.749279671260663,1500.0,13.6,9.803366202643659,324.6231890370276,8.693931015,28.10875887938181,111.96335942509764,291.9633594250976,18.300217667505052,-64.82590479491097,8693931015.0,34924000928.0
2025-08-16-06-13-06_UMBRA-10,806014ad-f633-4568-92f1-beefed8e0d49,collect:806014ad-f633-4568-92f1-beefed8e0d49,2025-08-16T06:13:06.200000Z,46256,4.8081212986086115,1500.0,12.4,9.803366202643659,295.97996647493693,9.537506015,24.17585546282608,83.02143345964419,263.0214334596442,33.73802183775754,-118.22575809469164,9537506015.0,53974445056.0
2024-05-23-02-34-05_UMBRA-04,2a9dfd0c-fdd2-4220-a405-a2195bc31a9f,collect:2a9dfd0c-fdd2-4220-a405-a2195bc31a9f,2024-05-23T02:34:05.100000Z,41118,3.24644904069795,1000.0,12.199999,8.004414986040972,356.6531434187922,10.863802475,38.88193546759088,98.52678738986886,278.52678738986884,28.605231024500057,-80.62297745402496,10863802475.0,
2025-04-07-14-43-40_UMBRA-05,5129f295-2f35-44f1-9b06-122aaeb9e693,collect:5129f295-2f35-44f1-9b06-122aaeb9e693,2025-04-07T14:43:40.300001Z,41118,2.5975712701220774,1500.0,12.600002,9.803366202643659,300.7538846406563,11.561782768,30.97497211827048,76.55909825307644,256.55909825307646,28.599637542980457,-80.61437762599074,11561782768.0,
2025-02-10-03-57-38_UMBRA-10,88f868cd-09bd-4ca6-96ce-df45faa7024a,collect:88f868cd-09bd-4ca6-96ce-df45faa7024a,2025-02-10T03:57:38.200000Z,41118,0.9540820976972706,1500.0,16.4,9.803366202643659,391.4573750152391,11.59189143,27.878545006153885,259.43964300742977,79.43964300742977,28.617171010798888,-80.59298251652537,11591891430.0,
2025-02-16-04-00-20_UMBRA-09,4227c251-c965-412b-9c00-5528c2ce49fe,collect:4227c251-c965-412b-9c00-5528c2ce49fe,2025-02-16T04:00:20.400000Z,41118,2.8033753219815143,1000.0,16.799999,8.004414986040972,491.128929828811,11.683433963,37.41952684393073,231.59562182083948,51.59562182083948,28.598238365555734,-80.6159684618016,11683433963.0,
2024-04-01-15-47-33_UMBRA-04,ba79245c-f2dc-4230-89b7-67367fe3da95,collect:ba79245c-f2dc-4230-89b7-67367fe3da95,2024-04-01T15:47:33.699999Z,41118,2.7384831927726005,1500.0,11.399998,9.803366202643659,272.11056660115713,12.93737272,69.23034402011572,246.88917356368276,66.88917356368276,28.589295411219872,-80.57317356541388,12937372720.0,
2025-03-08-03-57-41_UMBRA-09,efa8fc2a-cb60-4616-a523-9978bed8f779,collect:efa8fc2a-cb60-4616-a523-9978bed8f779,2025-03-08T03:57:41.900000Z,41118,2.929132692096565,1000.0,17.8,8.004414986040972,520.3628256735512,13.006999039,31.546708447908642,225.4372397923042,45.43723979230421,28.598365837635235,-80.61745072991157,13006999039.0,
2025-01-21-02-11-49_UMBRA-05,9b4c40b9-3447-48bf-871d-d641ec02cff7,collect:9b4c40b9-3447-48bf-871d-d641ec02cff7,2025-01-21T02:11:49.300000Z,41118,2.7048940801136965,1500.0,14.600001,9.803366202643659,348.49256504145535,13.039540744,25.447833074847026,108.66059707700136,288.66059707700134,28.598509456499244,-80.61499836550735,13039540744.0,
2025-11-06-06-25-53_UMBRA-08,071a21a8-8c64-4005-8d2f-123407375e7f,collect:071a21a8-8c64-4005-8d2f-123407375e7f,2025-11-06T06:25:53.800000Z,46256,4.485893184964024,1500.0,11.6,9.803366202643659,276.8844847668765,13.910238993,29.792546911186392,206.24307722805312,26.243077228053124,33.73564066298565,-118.22372404914944,13910238993.0,43787265088.0
2025-01-26-15-04-47_UMBRA-05,20999759-d0fc-425b-a2e5-29e2cbb3fc34,collect:20999759-d0fc-425b-a2e5-29e2cbb3fc34,2025-01-26T15:04:47.299998Z,41118,2.8364285609103326,1000.0,14.599997,8.004414986040972,426.8143648171557,15.369588898,38.82986153865242,312.53596922627395,132.53596922627395,28.59767485721788,-80.61603402073435,15369588898.0,
2025-09-10-02-18-29_UMBRA-05,62e0a15c-64f3-46e6-9e7d-3c5e14143a5c,collect:62e0a15c-64f3-46e6-9e7d-3c5e14143a5c,2025-09-10T02:18:29.600000Z,44054,9.427560422121664,1000.0,11.199999,8.004414986040972,327.4192768079185,15.45583747,42.754559422815476,226.97856714743034,46.97856714743034,38.9235445995429,-74.92131711294606,15455837470.0,44732633024.0
2024-05-31-15-08-06_UMBRA-04,f9a8eb82-a10b-454f-8830-5817b7d3e449,collect:f9a8eb82-a10b-454f-8830-5817b7d3e449,2024-05-31T15:08:06.299999Z,41118,2.502280945832224,1500.0,18.599998,9.803366202643659,443.9699019737011,15.736845433,36.37819008889223,92.59307767629491,272.5930776762949,28.591349750651464,-80.57410007218728,15736845433.0,
2025-09-12-03-47-15_UMBRA-09,b5271cff-3d42-4f6e-b8a2-5352d6d015d9,collect:b5271cff-3d42-4f6e-b8a2-5352d6d015d9,2025-09-12T03:47:15.200000Z,44063,7.136931755271505,1500.0,16.4,9.803366202643659,391.4573750152391,16.30107571,37.598394096159005,225.63092979468246,45.63092979468246,38.991999212584034,-76.37434458715289,16301075710.0,
2025-09-12-15-09-03_UMBRA-05,03fb69e8-3514-413a-b819-941e8a01d43e,collect:03fb69e8-3514-413a-b819-941e8a01d43e,2025-09-12T15:09:03.699999Z,44063,7.136867323868751,1500.0,13.399998,9.803366202643659,319.84927087130825,16.904797367,35.92843598082431,319.9024552451761,139.9024552451761,38.99199808172909,-76.37434468653464,16904797367.0,55517613352.0
2024-10-10-03-05-22_UMBRA-07,f5f4b309-5c25-4f00-bc61-00c6004e7a2a,collect:f5f4b309-5c25-4f00-bc61-00c6004e7a2a,2024-10-10T03:05:22.400000Z,41118,2.316794531456688,1500.0,18.8,9.803366202643659,448.7438201394205,26.386642809,48.52440288483119,90.90270858868664,270.90270858868666,28.62912242478089,-80.59615601863169,26386642809.0,
