bin,partition,fold,gain,M0_s,M0_a,M0_c,M0_offset_ratio,M0_test_nmse,M0_ambiguous,M0_boundary,M1_s,M1_a,M1_c,M1_offset_ratio,M1_test_nmse,M1_ambiguous,M1_boundary
"130,63",alternative,1,0.25946407488104684,0.4873286927400565,"[198.10166705076318, -440.63730372733335]","[0.0, 0.0]",0.0,0.0432237424578213,False,False,0.48541976227735806,"[194.72905663948507, -441.17931571891205]","[51.20500908188815, -36.955447575513496]",0.13094615742108548,0.03200873410810607,False,False
"130,63",alternative,2,0.08378312621539541,0.5008734542895149,"[148.09532363570557, -409.4926337569052]","[0.0, 0.0]",0.0,0.1829974657128786,False,False,0.48459088341551054,"[175.8558175106326, -391.9307154217583]","[64.71627898247854, -46.29569047731236]",0.18523095412182064,0.167665365945959,False,False
"130,63",alternative,3,0.17262275420969964,0.49249633696485967,"[146.99840338553392, -380.9860834334276]","[0.0, 0.0]",0.0,0.19435515054204555,False,False,0.4860752595945658,"[162.52670621654622, -386.2608283322285]","[23.644145849781445, -28.367869079873643]",0.08812413784433891,0.16080502916063685,False,False
"130,63",alternative,4,-0.20390592401910146,0.49251120950154026,"[166.943762942729, -363.62631614072154]","[0.0, 0.0]",0.0,0.21452137825720738,False,False,0.4889139321817275,"[146.00792178732223, -370.48122422866896]","[-42.02042428866874, -37.15870752852046]",0.14086269486394631,0.25826355811259444,False,False
"130,63",alternative,5,-0.06678235289020251,0.4987127863710434,"[207.87513025181457, -387.4883482744059]","[0.0, 0.0]",0.0,0.18016611585581233,False,False,0.4941484761527844,"[196.62203385062986, -386.31534935790927]","[-18.15511741704345, -41.22397691757314]",0.10391554603142253,0.1921980329837523,False,False
"130,63",alternative,6,0.07987035545335142,0.5005187938246244,"[213.22926884124516, -420.7077139262699]","[0.0, 0.0]",0.0,0.13729875237668596,False,False,0.4947576104115614,"[212.5118984950766, -417.83792599178435]","[13.272774933338457, -56.52029987367675]",0.12385012991047274,0.12633265222105836,False,False
"130,63",alternative,7,-0.2829074519228483,0.48389318408180104,"[191.66926267552435, -446.04150123273354]","[0.0, 0.0]",0.0,0.6801149382809665,False,False,0.4836336978030518,"[208.7211664785101, -455.06257315896056]","[5.775058097903184, -88.86659817580455]",0.17787825942426472,0.8725245224846999,False,False
"131,60",primary,0,-0.6221657597820989,0.6073900103563733,"[-723.4373706213333, -392.9029421049423]","[0.0, 0.0]",0.0,2.351921085609462,False,False,0.6020495606993052,"[-747.5519774244923, -384.532109253485]","[-80.99055176530595, -176.05236470224372]",0.23052091833131122,3.815205854785212,False,False
"131,60",primary,1,-0.0872815270934677,0.6102396860393056,"[-599.3258671640896, -299.1534002830678]","[0.0, 0.0]",0.0,0.11739876338479266,False,False,0.6110307334208035,"[-591.1960437257478, -287.32235842621765]","[13.014661432253835, -56.08555561187461]",0.08759198447686371,0.12764550673190203,False,False
"131,60",primary,2,-0.33658970234365526,0.6108536483553552,"[-525.1324455963482, -322.7606309489796]","[0.0, 0.0]",0.0,0.22023790806201543,False,False,0.6104890476132209,"[-503.9680953239112, -319.87608195127984]","[-62.94052636814328, 64.048164316179]",0.15043742248693445,0.2943677199813985,False,False
"131,60",primary,3,0.2520977592530712,0.589183472738154,"[-605.7974506094779, -295.5840805177341]","[0.0, 0.0]",0.0,0.12006788452491705,False,False,0.5894737566974684,"[-593.5619080725564, -304.21729263337517]","[-49.2030170345552, -58.024493890955696]",0.11406236683492246,0.08979903987792896,False,False
"131,60",alternative,0,-0.6814477790420079,0.6082639680586659,"[-703.3619908760659, -377.9383108448057]","[0.0, 0.0]",0.0,11.468320894174923,False,False,0.5982891881252601,"[-717.5923007038006, -387.6953835986808]","[-98.5640568606309, -160.00946342437686]",0.2304125728790783,19.28338269685148,False,False
"131,60",alternative,1,-0.48441322172587675,0.6021990860013525,"[-687.3544466589441, -398.53907994344826]","[0.0, 0.0]",0.0,0.6486747902419332,False,False,0.6082693211133533,"[-713.1997124260225, -357.79702886116945]","[-21.27828471319698, -129.46451844142192]",0.16442984804775124,0.9629014352353854,False,False
"131,60",alternative,2,0.19573061191588925,0.6088254215975633,"[-632.5266881289524, -327.6006307000109]","[0.0, 0.0]",0.0,0.12739308704900976,False,False,0.6128153874406379,"[-633.1359157411259, -300.9555578165874]","[10.017146505998792, -62.2863529183432]",0.08999216281643661,0.10245836016705294,False,False
"131,60",alternative,3,-0.20441806927457473,0.6130188743814852,"[-563.7421124606999, -262.8996749509717]","[0.0, 0.0]",0.0,0.16242205222636344,False,False,0.6145667876488135,"[-558.6044109408199, -255.81457378527966]","[32.657413280464596, -41.37471461015098]",0.0857923100461386,0.1956240545500908,False,False
