row,col,offset_row,offset_col,distance_bins,window_overlap_to_peak,amplitude_correlation_to_peak,residual_correlation_to_peak,peak_relative_phase_resultant,signed_slope_rad_s,slope_difference_to_peak,endpoint_msc,min_adjacent_msc
128,68,-5,3,5.830951894845301,0.0038694824237439415,0.24689363839664968,-0.0025790669907037925,0.23658144860207234,0.8008717294069608,0.38880608020384183,0.22626300079848324,0.00442026399570851
128,69,-5,4,6.4031242374328485,0.0036115113127055494,0.34185904000237777,0.28155190216687465,0.3478518990892136,-0.08148847191473918,-0.4935541211178582,0.09541114846512617,0.0012687217671297705
128,70,-5,5,7.0710678118654755,0.0032973930283607556,0.3741380938851413,-0.5252730593957649,0.19167071769025398,0.07192775462639782,-0.34013789457672117,0.05941362447961778,0.007072109672418132
128,71,-5,6,7.810249675906654,0.0029390362838215838,0.31238909795722275,0.6719816337685881,0.1635609737338005,-0.9886017506041788,-1.4006673998072978,0.38063824271658747,0.004630749956332967
129,59,-4,-6,7.211102550927978,0.003190267509182363,0.5510013539246096,0.50074110895841,0.14611574407615585,0.7205258078164958,0.3084601586133768,0.08958397496167,0.05191836308723
129,60,-4,-5,6.4031242374328485,0.0035792568813425123,0.41177666022036746,0.17814120188832008,0.3458746432221331,0.6081769970083545,0.19611134780523548,0.08997613612134076,0.06394777763009597
129,61,-4,-4,5.656854249492381,0.0039202262535485135,0.3897649978814187,0.2168305266949343,0.4750640678895809,0.5631546490519852,0.1510889998488662,0.06004100841843758,0.33512324821349615
129,62,-4,-3,5.0,0.004200248946151448,0.5837595052170418,0.16632245237427787,0.59497408122889,0.5540466577464761,0.1419810085433571,0.13285181937720209,0.3243827384774562
129,63,-4,-2,4.47213595499958,0.004408507443307671,0.8719876835594464,0.23197591319666913,0.6739659613128255,0.5365979172092461,0.1245322680061271,0.1712627449038,0.6567529899548735
129,64,-4,-1,4.123105625617661,0.004536847679651458,0.5282301689344489,-0.39092852270585104,0.7772057581476712,0.47611770906740647,0.06405205986428747,0.005661114724713155,0.7178431921917884
129,65,-4,0,4.0,0.06112921206878332,0.1775303666564671,0.20960490203181872,0.5785095131869974,0.024574204857066972,-0.38749144434605204,0.0272153932703604,0.755992392377359
129,66,-4,1,4.123105625617661,0.004536847679651456,0.3247980583989746,0.04499855639184367,0.5250375531573648,-0.1906886887986095,-0.6027543380017285,0.2518720121034659,0.15710382122065158
129,67,-4,2,4.47213595499958,0.00440850744330767,0.5237224378754137,0.28433959807650483,0.48314734360623907,0.5399333368097116,0.12786768760659256,0.2021901600381755,0.07588115292243598
129,68,-4,3,5.0,0.004200248946151448,0.3831980184186751,0.18995243661115158,0.10399557452965877,0.7794042072839851,0.3673385580808661,0.01770165590109253,0.04341383061009518
129,69,-4,4,5.656854249492381,0.003920226253548512,0.4936614572643028,-0.346981218630142,0.3460198921018972,0.3510516426653945,-0.061014006537724486,0.14603955718516373,0.018213259264145455
129,70,-4,5,6.4031242374328485,0.00357925688134251,0.2668882968537285,-0.12477863881914006,0.155370983525504,0.1954090627726563,-0.2166565864304627,0.05265218862136278,0.0007876100759341749
129,71,-4,6,7.211102550927978,0.003190267509182357,0.398469428625557,0.46419497790831477,0.29370577714534096,-0.26159762963238636,-0.6736632788355054,0.4084995597637803,0.004559410816928483
130,59,-3,-6,6.708203932499369,0.0033956594328459623,0.6849338736193193,-0.1996353668185707,0.22044941399925458,-0.1298627813935756,-0.5419284305966946,0.06708703013134008,0.05934042294481427
130,60,-3,-5,5.830951894845301,0.0038096922457842674,0.7761364875070591,0.05969313231300602,0.3492101191363651,0.6028550475208171,0.1907893983176981,0.05332610601054447,0.28677348974053635
130,61,-3,-4,5.0,0.004172613493519892,0.5165887648306442,-0.40068733319547706,0.6980235316569471,0.21193097647557135,-0.20013467272754765,0.07407551632422293,0.45846487600553204
130,62,-3,-3,4.242640687119285,0.004470664266632576,0.6158929375042264,0.5956797035466525,0.6117982058325939,0.5524983139188817,0.1404326647157627,0.24363999128774746,0.32987910547666827
130,63,-3,-2,3.605551275463989,0.004692330609126877,0.726370557857299,0.45312233208357605,0.8213211950284843,0.4977617592818526,0.08569611007873362,0.28885907505595804,0.6710253770316612
130,64,-3,-1,3.1622776601683795,0.00482893349051539,0.822047986367799,-0.21856348561191527,0.8761832869274767,0.47813250526138756,0.06606685605826856,0.07285825124459265,0.6845431308843692
130,65,-3,0,3.0,0.0650647586719162,0.4931073205018697,0.2768849957988883,0.4989417756370689,0.23904423355147125,-0.17302141565164775,0.07829875567153917,0.8142479397816272
130,66,-3,1,3.1622776601683795,0.004828933490515387,0.5779100430090757,-0.1989713422421251,0.30168180842586434,0.6155527744402445,0.20348712523712548,0.2547837816915831,0.36058122108881696
130,67,-3,2,3.605551275463989,0.004692330609126876,0.532622429458026,-0.1398344821526385,0.5648098884657009,0.5065425443155146,0.0944768951123956,0.19693005017998536,0.0053518023419972865
130,68,-3,3,4.242640687119285,0.0044706642666325755,0.16285755997504733,-0.34265644714771926,0.43360919574827556,-0.21112599023686435,-0.6231916394399833,0.17845075360855914,0.02089143288801152
130,69,-3,4,5.0,0.004172613493519887,0.2971104031510832,0.10648252526049723,0.15322080297552634,-0.24436231709455156,-0.6564279662976705,0.1786847486778535,0.010179818172248922
130,70,-3,5,5.830951894845301,0.00380969224578427,0.2531178751072842,0.2696028973075731,0.4405290548421297,-0.06542814598240071,-0.4774937951855197,0.021932714585147797,0.011504566000041128
130,71,-3,6,6.708203932499369,0.0033956594328459623,0.19724847147323554,0.273236380631036,0.37630877864958895,0.380702968856251,-0.03136268034686801,0.22300473881685193,0.01943789430719821
131,59,-2,-6,6.324555320336759,0.003547906010933788,0.09107301911863723,-0.5275953992513944,0.14605781129437587,0.4135195394064036,0.0014538902032846246,0.18308792314001365,0.2947746195412146
131,60,-2,-5,5.385164807134504,0.003980502251751875,0.7184138874691618,0.27848950365766734,0.35469053895445196,0.6052730066227132,0.19320735741959422,0.18922399334892578,0.6029913172998892
131,61,-2,-4,4.47213595499958,0.004359695307416362,0.474727819989525,-0.3428774272998991,0.49441043499841686,0.5602988411886477,0.1482331919855287,0.10537653482503379,0.6061584319088335
