phase,family,replicate,axis,separation_bins,ratio,truth_s,ols_s,circular_s,agreement,r2,phase_rmse,m1_gain,amplitude_correlation,persistent_score,relative_slope_error,distorted_over_10pct,frozen_criteria_pass
evaluation,A,4,tangential,1.452,1.0,,0.39537246453681335,0.39649908801894,0.0011266234821266652,0.99936072409865,0.06503269189974487,0.0004075773191208887,0.29096607479485465,False,,False,True
evaluation,A,5,tangential,1.452,1.0,,0.3976133415725382,0.3988002257256716,0.001186884153133394,0.9994055489640841,0.06306529005344434,0.001380764619571706,0.042857342046087286,False,,False,True
evaluation,A,6,tangential,1.452,1.0,,0.3968538058062032,0.39587233822547113,0.0009814675807320872,0.9991203991331669,0.07657848039879944,0.00037000645438778346,0.29916960116398605,False,,False,True
evaluation,A,7,tangential,1.452,1.0,,0.38887356390246053,0.3886995367344217,0.00017402716803882612,0.9998416387991067,0.03182801009985558,0.0001997379949042477,-0.2829675498855107,False,,False,True
evaluation,B_static,0,radial,3.0,1.0,0.4,0.39672304458166313,0.3984776915547609,0.0017546469730977954,0.9990335289074432,0.08024798086225442,0.0018978308692346735,0.16266689239704002,False,0.008192388545842227,False,True
evaluation,B_static,1,radial,3.0,1.0,0.4,0.38870919406055005,0.3895137879012184,0.0008045938406683328,0.9988043656044481,0.0874633445338314,0.0074979768226952626,-0.026094571057785676,False,0.028227014848624943,False,True
evaluation,B_static,2,radial,3.0,1.0,0.4,-0.0011148528860160502,-0.0023863131964663117,0.0012714603104502615,0.006986736436008556,0.08643710048957323,0.001796176938557048,0.24707509800250932,False,1.0027871322150401,True,False
evaluation,B_static,3,radial,3.0,1.0,0.4,0.40070899273161803,0.4040770754631204,0.003368082731502353,0.9981505242608715,0.11217541167514412,0.01118928805578967,0.5725918774035349,False,0.0017724818290450195,False,True
evaluation,B_static,4,radial,3.0,1.0,0.4,0.3992898610943679,0.4018952252139862,0.0026053641196182586,0.9988223557173908,0.0891648129243664,0.0036512041468412804,0.15182530643498948,False,0.0017753472640802404,False,True
evaluation,B_static,5,radial,3.0,1.0,0.4,0.39593747666944906,0.3984552421449199,0.0025177654754708345,0.999487867005137,0.05828697401304172,0.002192566025923215,0.11947806875370423,False,0.0101563083263774,False,True
evaluation,B_static,6,radial,3.0,1.0,0.4,-0.002410717483620474,-0.0029466244021842205,0.0005359069185637464,0.04972854298992124,0.06853455161468609,0.0019828099491332463,-0.1797117837540919,False,1.0060267937090512,True,False
evaluation,B_static,7,radial,3.0,1.0,0.4,0.006874208020497982,0.004944861661125004,0.0019293463593729786,0.29117210736377996,0.06975261086501501,0.0038502898950200093,0.24571128579991885,False,0.982814479948755,True,False
evaluation,B_static,0,tangential,1.452,1.0,0.4,0.39996603180389945,0.394441285130587,0.005524746673312431,0.9963093420363466,0.1583143165453406,0.017861168146604767,0.34518562065523434,False,8.492049025143888e-05,False,True
evaluation,B_static,1,tangential,1.452,1.0,0.4,0.410321990231359,0.40527828207743294,0.005043708153926074,0.9960729236709386,0.16755453224463782,0.020881622130901945,0.18921131849103767,False,0.025804975578397477,False,True
evaluation,B_static,2,tangential,1.452,1.0,0.4,0.4008690003970887,0.39472959630203447,0.006139404095054257,0.9953063217015493,0.17902885543580938,0.01635949565880246,0.22094815040351123,False,0.0021725009927217598,False,True
evaluation,B_static,3,tangential,1.452,1.0,0.4,0.3965243109353416,0.3922263623226944,0.004297948612647151,0.99821620720562,0.10901141992331587,0.01075321677803387,0.45505180422213914,False,0.008689222661646123,False,True
evaluation,B_static,4,tangential,1.452,1.0,0.4,0.3988346208880703,0.39450974883541523,0.004324872052655082,0.9974060445856573,0.1322757976578324,0.016768746620019592,0.4334873004883199,False,0.002913447779824274,False,True
evaluation,B_static,5,tangential,1.452,1.0,0.4,0.40022908565636944,0.39551080621002815,0.004718279446341289,0.9965406448490078,0.15335607938219145,0.017602139672261097,0.7472091032045984,False,0.0005727141409235526,False,True
evaluation,B_static,6,tangential,1.452,1.0,0.4,0.4001586034025684,0.39378400190346485,0.0063746014991035715,0.9959394602022917,0.1661689431259871,0.018343425572439842,0.5014397342600012,False,0.0003965085064210061,False,True
evaluation,B_static,7,tangential,1.452,1.0,0.4,0.3933016234067045,0.38767255582625837,0.005629067580446123,0.9963821774978147,0.15412698212625983,0.018363692627470396,-0.4394338363123323,False,0.016745941483238824,False,True
evaluation,B_slow,0,radial,3.0,1.0,0.4,-0.21215515166758445,0.028806461285372252,0.2409616129529567,0.5881410628584598,1.1545941732075793,0.00016492004741019972,0.6048012141938475,False,1.5303878791689611,True,False
evaluation,B_slow,1,radial,3.0,1.0,0.4,0.39872926377074,0.39627697603349926,0.0024522877372407104,0.9994634517202471,0.060081579128562705,0.0037179700291117834,0.8149737807668469,False,0.003176840573150125,False,True
evaluation,B_slow,2,radial,3.0,1.0,0.4,-0.02849900411343307,0.049175237866985286,0.07767424198041836,0.03660791368303562,0.9507930864741978,0.0009081010599817363,0.7102143911925664,False,1.0712475102835828,True,False
evaluation,B_slow,3,radial,3.0,1.0,0.4,0.3954741195497772,0.3934034128184275,0.0020707067313496808,0.9993338680597034,0.06640261414849202,0.004164896737678836,-0.1208669419039268,False,0.011314701125557103,False,True
evaluation,B_slow,4,radial,3.0,1.0,0.4,0.39805254262709583,0.39834229752106326,0.00028975489396743104,0.9991904507909467,0.07368518438969386,0.00010258959954534408,0.16080236416676677,False,0.004868643432260483,False,True
evaluation,B_slow,5,radial,3.0,1.0,0.4,0.0590266920049428,0.051907281382015315,0.007119410622927487,0.4082982757404545,0.46211851891460065,0.01331941796171876,0.892913605073183,False,0.852433269987643,True,False
evaluation,B_slow,6,radial,3.0,1.0,0.4,0.027536658186946884,0.03317687409146356,0.005640215904516677,0.16780258930246306,0.3988112199916517,0.0013997071924229942,0.7159631663861539,False,0.9311583545326327,True,False
evaluation,B_slow,7,radial,3.0,1.0,0.4,0.40680045874227055,0.41025106109014353,0.0034506023478729775,0.9984509973748938,0.10420448620256659,0.006639174704519024,-0.41958472153684623,False,0.01700114685567633,False,True
evaluation,B_slow,0,tangential,1.452,1.0,0.4,0.39531176581412836,0.39951245041567296,0.004200684601544602,0.997210096765811,0.13598257489784832,0.007282809742236274,0.16215681559096295,False,0.011720585464679162,False,True
evaluation,B_slow,1,tangential,1.452,1.0,0.4,0.4046217148330499,0.40042148337161176,0.004200231461438109,0.995631391803636,0.17430655802784198,0.01442143757022385,0.21446421312440914,False,0.011554287082624626,False,True
evaluation,B_slow,2,tangential,1.452,1.0,0.4,0.3932536276412962,0.39753650032912646,0.004282872687830286,0.9955798160437374,0.1704108140610945,0.010784562852387158,0.706315355772669,False,0.016865930896759612,False,True
evaluation,B_slow,3,tangential,1.452,1.0,0.4,0.4091891985136518,0.41125020091657916,0.0020610024029273366,0.9980964692696398,0.11621444989863222,0.004296792369675839,-0.2219581170614063,False,0.022972996284129493,False,True
evaluation,B_slow,4,tangential,1.452,1.0,0.4,0.4013379907126117,0.3994186480053188,0.001919342707292937,0.998449150426421,0.10286660743139538,0.007070915457017213,0.6401243045479386,False,0.0033449767815292575,False,True
evaluation,B_slow,5,tangential,1.452,1.0,0.4,0.41289756851977,0.4100156197168245,0.002881948802945511,0.9923879671435873,0.23517664522110124,0.003665684786636425,0.181854924591964,False,0.03224392129942494,False,True
evaluation,B_slow,6,tangential,1.452,1.0,0.4,0.4002174938938014,0.40256645044527734,0.0023489565514759336,0.9968664417909848,0.14592803905138857,0.014113340767658022,0.6914868032587959,False,0.0005437347345034482,False,True
