look,pulses,tx_time_mean_s,tx_time_min_s,tx_time_max_s,slant_range_mean_m,slant_range_min_m,slant_range_max_m,slant_range_ptp_m,speed_mean_m_s,speed_min_m_s,speed_max_m_s,speed_ptp_m_s,R_over_V_mean_s,R_over_V_ptp_s,incidence_mean_deg,incidence_min_deg,incidence_max_deg,incidence_ptp_deg,view_azimuth_mean_deg,flight_azimuth_mean_deg,squint_mean_deg,squint_min_deg,squint_max_deg,squint_ptp_deg,k_los_mean_rad_m,k_flight_mean_rad_m,k_axis0_rad_m,k_axis1_rad_m
19,5265,13.738752659938966,13.386684104,14.090880536,612175.1814303964,612034.3489008849,612323.2593682884,288.9104674035916,7657.830758928123,7657.824773473054,7657.83674286441,0.011969391355705739,79.94106956191987,0.03760250453264291,22.27350696940396,22.23677718349594,22.312012917261402,0.07523573376546171,110.30982241108963,191.20410130842598,80.89427890391937,80.24001215771341,81.55004411334227,1.3100319556288647,-0.04192056047242362,0.016443288372424748,-0.04799655442984407,0.0
20,5263,14.443135563070491,14.091014344,14.795324541333333,612485.8352737337,612323.3183825725,612655.5965722806,332.2781897081295,7657.842723089935,7657.836746232418,7657.848700946199,0.011954713781051396,79.98151142277183,0.04326571682840097,22.35405009065411,22.31202822008938,22.39782448954128,0.08579626945189783,111.61989473916566,191.20883350120027,79.58893876935004,78.93980450629377,80.23976417082807,1.2999596645342928,-0.04137526821537228,0.01644701256947189,-0.04799655442984407,0.0
21,5259,15.147523617335109,14.795458429333333,15.499664941333332,612839.7815983287,612655.6638513604,613031.1377871206,375.4739357602084,7657.854675147047,7657.848703862365,7657.8606469490105,0.011943086645260337,80.0276066270309,0.048906406474230835,22.44506164784313,22.397841791714082,22.494006570650154,0.09616477893607307,112.91907822916595,191.21356210812422,78.29448388691293,77.65128164609318,78.93955843100926,1.2882767849160863,-0.04081314762468668,0.016450733832421436,-0.04799655442984407,0.0
22,5256,15.851900022832066,15.499798914666666,16.204085645333333,613236.9385648676,613031.2133283919,613449.8995636934,418.6862353015458,7657.866614683141,7657.860647645843,7657.872581976057,0.011934330213989597,80.0793444658322,0.054549205063906925,22.546365283159727,22.49402584180662,22.600400681598973,0.10637483979235113,114.20616566987341,191.21828701944452,77.01212135808436,76.37524818501048,77.65103771552796,1.275789530517475,-0.04023556904540468,0.016454452075128738,-0.04799655442984407,0.0
23,5252,16.55631466498908,16.20421972,16.908502456,613677.2515434531,613449.9833726082,613911.7505796561,461.76720704790205,7657.878542609544,7657.872582234161,7657.884503860285,0.011921626123694296,80.13671776968913,0.06017486942909045,22.65777724638329,22.600421890581952,22.716796694166707,0.1163748035847538,115.48014224075743,191.22300857322338,75.74286634144414,75.11292783815402,76.37500660094979,1.262078762795771,-0.03964388010123455,0.016458167563859146,-0.04799655442984407,0.0
24,5248,17.260750170310974,16.908636632,17.612964856,614160.6230567719,613911.8426509156,614416.6299555593,504.787304643658,7657.890458541704,7657.884504875954,7657.896412300748,0.011907424794117105,80.1997137875506,0.06579257429832808,22.779089699270596,22.71681980451419,22.842989922044232,0.12617011753004187,116.73994329282239,191.22772665707933,74.48778337361254,73.86522621040972,75.11268876456613,1.2474625541564146,-0.03903950119971935,0.01646188021039257,-0.04799655442984407,0.0
25,5242,17.965121558686505,17.613099144,18.31725330933333,614686.8879578066,614416.7302906951,614964.2627556393,547.5324649441754,7657.902361033604,7657.896414338365,7657.908306680853,0.01189234248795401,80.26831094306073,0.07137436015302967,22.910066339303043,22.84301489665616,22.978711440296014,0.135696543639854,117.98446500100808,191.23244070500198,73.2479757136263,72.63344201399258,73.86498984396512,1.2315478299725477,-0.038423921030530904,0.01646558956958189,-0.04799655442984407,0.0
26,5238,18.669477690902887,18.317387725333333,19.021685234666666,615255.9680395939,614964.3713581882,615554.7785175472,590.4071593589615,7657.914250854254,7657.908309342003,7657.920190169959,0.011880827955792483,80.34249898981464,0.07697299801625945,23.050482237468277,22.978738240510825,23.123782983722204,0.14504474321137892,119.21292149103239,191.23715104878391,72.02422956759234,71.41785256626413,72.63320846359504,1.215355897330915,-0.03779850742014598,0.016469295902748055,-0.04799655442984407,0.0
27,5233,19.373934429971335,19.021819789333332,19.726174824,615867.8438803327,615554.8953913186,616188.0005957066,633.1052043880336,7657.926129967068,7657.920194690336,7657.932065051558,0.011870361222463544,80.42227534536016,0.08254853162884501,23.200117583176702,23.123811568948994,23.277941575579995,0.1541300066309998,120.42471983480148,191.24185846549236,70.81713864065453,70.21936509519207,71.41762199657138,1.1982569013793123,-0.03716455019186382,0.01647299982154165,-0.04799655442984407,0.0
28,5226,20.078338171839263,19.726309522666668,20.430500610666666,616522.2584985353,616188.1257388094,616863.5889060674,675.4631672580726,7657.937995687655,7657.932068057916,7657.943925810217,0.011857752300784341,80.50760645472151,0.08807965312598753,23.358686669246765,23.277971902209135,23.440878467483582,0.16290656527444794,121.6188831226109,191.24656193279438,69.62767882018123,69.0390230828419,70.21913762533735,1.180114542495465,-0.03652355534343713,0.016476700521784533,-0.04799655442984407,0.0
29,5220,20.782669142875097,20.430635463999998,21.134844658666665,617219.048641795,616863.7223186278,617581.5652917954,717.8429731676588,7657.949847672149,7657.943925187567,7657.955769736487,0.01184454891972564,80.59847097810206,0.093613607996204,23.525920932413364,23.44091049110176,23.61236722418588,0.1714567330841203,122.79475165913482,191.25126132316493,68.45650967400243,67.87710556942534,69.03879885252606,1.1616932831007079,-0.035876876552137595,0.01648039790339391,-0.04799655442984407,0.0
30,5214,21.487042001798237,21.134979672,21.839254178666668,617958.1805806862,617581.7069707181,618341.8376926047,760.1307218866423,7657.961687820759,7657.955771561702,7657.967606120647,0.011834558945338358,80.6948644657888,0.09913548265885197,23.7015778048407,23.61240089838719,23.792148751342072,0.17974785295488227,123.9519683030902,191.2559574053307,67.30398911212693,66.73404859198943,67.87688465948195,1.1428360674925007,-0.035225701215731924,0.016484092571425944,-0.04799655442984407,0.0
31,5208,22.191503827842293,21.839389362666665,22.543776109333333,618739.5637417006,618341.9876405728,619144.3170058763,802.3293653035071,7657.973516914416,7657.967607126918,7657.979425605636,0.011818478717941616,80.79677505699674,0.10464576452145025,23.885396622949894,23.792184030144988,23.97996099346676,0.18777696332177246,125.09013323456882,191.26065049551178,66.17051727068974,65.61021643993381,66.73383107443233,1.123614634498519,-0.03457122846019466,0.016487784774866565,-0.04799655442984407,0.0
