transect,distance_m,E,N,lon,lat,status,wavelength_smoothed_m,swath,burst,sample,line,n_samples,n_lines,ground_spacing_sample_m,ground_spacing_line_m,bright_fraction,affine_residual_max_m,spectrum_method,incidence_deg,n_spectra_averaged,peak_status,n_blobs,argmax_wavelength_m,argmax_axial_bearing_deg,wavelength_m,k_rad_m,axial_bearing_deg,blob_area_px,lobe_to_annulus,identifiable,depth_T11.765_m,depth_T11.765_U-0.5_m,depth_T11.765_U+0.5_m
0,1250.0,432563.3892274354,4008055.7898950195,-75.75026987507039,36.214994527554516,ok,100.02683451909505,IW3,0,14416.09259781266,1083.6324817909647,153,37,3.3435670108792377,13.899643820891727,0.0,0.00764888831388682,affine_dtft,44.17372282631293,1,identified,1,98.99598012723716,70.0840113019909,100.84334043626677,0.06230639802288753,66.80140948635166,3,9.205995650370983,True,7.977997612442399,9.1549497700415,6.937779849325984
0,1300.0,432610.15319069935,4008073.485423829,-75.74975116211618,36.215157310574504,ok,103.44977873044418,IW3,0,14430.739470046783,1084.3643251676663,153,37,3.3435600123002813,13.899642317717378,0.0,0.0076489086508920705,affine_dtft,44.176315777494864,1,identified,1,102.67741774723486,72.24896514047329,103.32254115783341,0.06081137026606343,70.34617594194648,6,7.4175053870659085,True,8.58623969003031,9.82821663333697,7.490266820582102
0,1350.0,432656.9171539633,4008091.1809526384,-75.74923244697862,36.21532009136674,ok,107.52825798726732,IW3,0,14445.386387924247,1085.096148692587,153,37,3.343553016403853,13.89964081807835,0.0,0.00764892798463188,affine_dtft,44.178908736814876,1,identified,1,105.76002259355059,86.42494967396563,101.89180827750278,0.06166526449375895,84.28940686250012,2,9.857996488135072,True,9.349023424737668,10.673393898156593,8.182997326982827
0,1400.0,432703.68111722724,4008108.876481448,-75.74871372965777,36.215482869931186,ok,110.11514545556952,IW3,0,14460.033351442506,1085.827952365478,153,37,3.343546018414506,13.89963931608002,0.0,0.007648927147318551,affine_dtft,44.18150170427252,1,identified,1,106.74636682460067,87.00633677897568,113.77777777777767,0.05522330836388313,89.99999999999966,2,11.261719664373143,True,9.855158319487511,11.23485381729164,8.64246027061354
0,1450.0,432750.4450804912,4008126.5720102577,-75.74819501015361,36.2156456462678,ok,111.81329653000353,IW3,0,14474.68036060153,1086.5597361860998,153,37,3.3435390220000807,13.899637817442253,0.0,0.007648946523986636,affine_dtft,44.184094679867805,1,identified,1,110.07224661324231,87.9157765465689,117.80582228695603,0.0533350999568999,85.60129464500419,3,11.897199640723748,True,10.197157281937065,11.614579180637246,8.952800137557071
0,1500.0,432797.2090437551,4008144.267539067,-75.74767628846621,36.21580842037654,ok,115.12045928083712,IW3,0,14489.32741539976,1087.2915001540753,153,37,3.343532025489718,13.899636319479917,0.0,0.007648966648014965,affine_dtft,44.186687663600445,1,identified,1,117.36471235226105,87.08917049834761,113.77777777777767,0.05522330836388313,89.99999999999966,2,12.489005046559441,True,10.886120452124542,12.380485963525048,9.577607776308419
0,1550.0,432843.973007019,4008161.9630678766,-75.7471575645956,36.215971192257356,ok,,IW3,0,14503.974515836271,1088.0232442690958,153,37,3.343525029098103,13.899634819894002,0.0,0.007648986770795834,affine_dtft,44.18928065547027,1,ambiguous_multiple_blobs,3,54.165896193426505,58.808254799654726,127.99999999999986,0.04908738521234057,89.99999999999962,1,5.607699788626713,False,,,
0,1600.0,432890.736970283,4008179.658596686,-75.74663883854177,36.21613396191024,ok,,IW3,0,14518.621661910985,1088.7549685310335,153,37,3.3435180333804033,13.899633322565037,0.0,0.007648986012585342,affine_dtft,44.19187365547729,1,ambiguous_multiple_blobs,4,54.74918627756753,60.07786633865942,55.7808343759711,0.11264057588005918,60.64224645720867,2,11.615666998648935,False,,,
0,1650.0,432937.5009335469,4008197.3541254955,-75.7461201103048,36.216296729335106,ok,43.97227709069926,IW3,0,14533.26885362161,1089.4866729394666,153,37,3.3435110387435527,13.899631825819752,0.0,0.0076490073802454525,affine_dtft,44.19446666362107,1,identified,4,53.95225729310112,62.4016200563355,53.23522507878767,0.11802683839282217,62.10272896905231,4,11.89352776927975,True,1.444645806293253,1.8746758355111384,1.0772676713862877
0,1700.0,432984.26489681087,4008215.0496543054,-75.74560137988469,36.21645949453195,ok,39.439607776199374,IW3,0,14547.916090967608,1090.2183574941323,153,37,3.343504042289586,13.89963033186503,0.0,0.007649026338255704,affine_dtft,44.197059679901535,1,identified,2,25.316461627852128,79.34845933066555,52.84000636061037,0.11890962435355407,63.43494882292195,3,6.65170396122759,True,1.158928306529656,1.5436511953495589,0.8344733890395762
