crop_row,crop_col,fft_bin_offset_row,fft_bin_offset_col,k_east_cycles_per_m,k_north_cycles_per_m,kx_range_cycles_per_m,ky_azimuth_cycles_per_m,k_magnitude_cycles_per_m,kx_range_rad_per_m,ky_azimuth_rad_per_m,k_magnitude_rad_per_m,wavelength_m,wavevector_bearing_deg,wavevector_bearing_deg_mod_180,angle_from_local_range_axis_deg,angle_from_local_azimuth_axis_deg,slope_rad_per_s,slope_ols_standard_error_rad_per_s,slope_hac4_standard_error_rad_per_s,slope_selected_standard_error_rad_per_s,fit_residual_rmse_rad,fit_r_squared,minimum_adjacent_coherence,minimum_independent_anchor_coherence,end_to_end_coherence_look1_look11,mean_local_power,power_relative_to_frozen_peak,hemisphere_relative_to_frozen_wavevector,aligned_slope_rad_per_s,expected_omega_rad_per_s_h13_33_compatibility,bias_vs_h13_33_dispersion_rad_per_s,expected_omega_rad_per_s_h17_902_compatibility,bias_vs_h17_902_dispersion_rad_per_s,high_quality_flag,frozen_peak_lobe_flag,conjugate_peak_lobe_flag
60,64,-4,0,0.007280894161019282,-0.0014757551332105667,-0.007428860009215205,1.734723475976807e-18,0.007428948310303552,-0.04667690405899498,1.0899589056276974e-17,0.046677458871095895,134.60855537425851,101.45798292805308,101.45798292805308,0.2793556248566489,90.0,-0.3462481465874245,0.005259831618905645,0.0038195664369031867,0.005259831618905645,0.05778943293657169,0.9979274250932506,0.9654704669643599,0.44713563424849895,0.44713563424849895,3418089407565.6675,0.625621141431651,1,-0.3462481465874245,0.4583743224973422,0.11212617590991775,0.34075815867458153,-0.005489987912842942,True,True,False
60,65,-4,1,0.006923385508985884,-0.0032848472871726516,-0.007428860009215205,0.0018440569454405132,0.0076631252505802916,-0.04667690405899498,0.0115865515051943,0.048148835981522975,130.49506138820774,115.38231881916612,115.38231881916612,14.20369151596968,76.07566410888694,-0.3628709159398087,0.00742458565098708,0.006725510445860475,0.00742458565098708,0.08157344676535874,0.9962463878974096,0.9454433337565777,0.2636665923550182,0.2636665923550182,1942389851996.5562,0.3555202955257966,1,-0.3628709159398087,0.47171574398705896,0.10884482804725026,0.35125533875324016,-0.011615577186568526,True,True,False
61,60,-3,-4,0.006890705228898052,0.0061295522659404154,-0.005571645006911404,-0.007376227781762045,0.009222430782199358,-0.03500767804424624,-0.04634620602077715,0.05794624158719574,108.43128277309997,48.3456538306872,48.3456538306872,52.83297347250924,36.88767090263413,-0.3707102202745384,0.00660378479163218,0.007759814101602007,0.007759814101602007,0.07255536032215823,0.9971521268963777,0.9277655413836876,0.413685011898619,0.413685011898619,754939088640.691,0.13817832070201214,1,-0.3707102202745384,0.5581367369513739,0.18742651667683546,0.4205635124136486,0.04985329213911016,True,True,False
61,61,-3,-3,0.006533196576864654,0.004320460111978329,-0.005571645006911404,-0.005532170836321532,0.007832562357948504,-0.03500767804424624,-0.034759654515582855,0.049213440725029936,127.67214026520932,56.52298682509861,56.52298682509861,44.65564047809782,45.06500389704553,-0.36042137176306194,0.002401000001847112,0.0016115528068906709,0.002401000001847112,0.026379633159496624,0.9996007615709416,0.9647370644276972,0.5191978942683775,0.5191978942683775,2503857021183.139,0.4582869845671685,1,-0.36042137176306194,0.4813113223309949,0.12088995056793295,0.35883678889206494,-0.0015845828709969978,True,True,False
61,62,-3,-2,0.006175687924831256,0.002511367958016245,-0.005571645006911403,-0.0036881138908810215,0.0066667901095997665,-0.03500767804424623,-0.02317310301038857,0.04188867766268744,149.9972225854331,67.8706879330906,67.8706879330906,33.30793937010584,56.41270500503754,-0.3524471488881787,0.002696288207388578,0.0020805259840688158,0.002696288207388578,0.029623945751132322,0.9994735484176962,0.9704919690174016,0.5564083174648531,0.5564083174648531,4603763732451.078,0.8426379704411953,1,-0.3524471488881787,0.4143318345116555,0.06188468562347682,0.3064482243327371,-0.04599892455544158,True,True,False
61,63,-3,-1,0.005818179272797859,0.0007022758040541599,-0.005571645006911403,-0.00184405694544051,0.005860409657641225,-0.03500767804424623,-0.01158655150519428,0.03682203985494469,170.6365353992153,83.11748284013639,83.11748284013639,18.061144463060046,71.65949991208333,-0.345942178024993,0.00481186446840854,0.004959839298387881,0.004959839298387881,0.05286764656067516,0.9982617721978413,0.9652163744467303,0.5104806751368168,0.5104806751368168,4316588169101.0923,0.7900755350243143,1,-0.345942178024993,0.3667505731147571,0.02080839508976412,0.2699228995975005,-0.07601927842749251,True,True,False
61,64,-3,0,0.005460670620764461,-0.0011068163499079252,-0.005571645006911403,1.5178830414797062e-18,0.0055717112327276636,-0.03500767804424623,9.537140424242352e-18,0.035008094153321914,179.4780738323447,101.45798292805308,101.45798292805308,0.2793556248566489,90.0,-0.34734318491883626,0.009395627917273707,0.011201865650715164,0.011201865650715164,0.10322916183678879,0.9934577675008976,0.9449928832577937,0.31782642136937983,0.31782642136937983,2474736497226.227,0.45295698489054037,1,-0.34734318491883626,0.3494847883652019,0.0021416034463656586,0.256794748430624,-0.09054843648821226,True,True,False
62,61,-2,-3,0.004712973036609834,0.004689398895280972,-0.0037144300046076024,-0.005532170836321534,0.006648501849505174,-0.02333845202949749,-0.03475965451558287,0.04177376913556721,150.40982504568706,45.143654812133846,45.143654812133846,56.03497249106259,33.685671884080776,-0.3660644125107395,0.006806661436591972,0.006069019681802298,0.006806661436591972,0.07478435301959745,0.996897966401111,0.9245828976029838,0.32259922256919843,0.32259922256919843,1367081548990.6702,0.2502202304060887,1,-0.3660644125107395,0.4132636538079896,0.04719924129725006,0.3056223211494473,-0.060442091361292194,True,True,False
62,62,-2,-2,0.0043554643845764365,0.0028803067413188865,-0.0037144300046076024,-0.003688113890881022,0.005221708238632337,-0.02333845202949749,-0.023173103010388572,0.0328089604833533,191.5082103978139,56.52298682509861,56.52298682509861,44.65564047809782,45.06500389704553,-0.35224212625057394,0.008683005999013015,0.010955415200522924,0.010955415200522924,0.09539963048707124,0.994560844428315,0.9493339037849897,0.3021394613935748,0.3021394613935748,2419078193474.1206,0.44276971142529137,1,-0.35224212625057394,0.3283986081968351,-0.023843518053738855,0.2408451478045071,-0.11139697844606683,True,True,False
62,66,-2,2,0.002925429776442845,-0.004356061874529454,-0.003714430004607603,0.003688113890881024,0.0052472292147025075,-0.023338452029497494,0.023173103010388586,0.032969313505222274,190.57677091712395,146.11560962057675,146.11560962057675,44.93698231738031,45.34237330747632,0.050014354765352126,0.0056888880071124465,0.007243128962852583,0.007243128962852583,0.06250344797902345,0.8957029678550278,0.9307664964145979,0.3392151395055429,0.3392151395055429,971905467479.5422,0.17789019988252955,1,0.050014354765352126,0.3299416894580799,0.379956044223432,0.24200934234076826,0.2920236971061204,False,False,False
