acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,original_sample_index,position_id,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation,duplicate_status,spectral_status,spectral_valid_bin_fraction
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirectionPeakFrequency,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,64.93568,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirectionPeakFrequency/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted at peak frequency",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirectionPeakFrequency,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,64.93568,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirectionPeakFrequency/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted at peak frequency",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirectionPeakFrequency,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,degree,80.40516,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirectionPeakFrequency/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted at peak frequency",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirectionPeakFrequency,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,64.93568,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirectionPeakFrequency/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted at peak frequency",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveEnergyDensity,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m2 s,,waves__waverider-17m__4e2d54ee6b11/variables/waveEnergyDensity/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Energy Density,unique,complete_spectrum,1.0
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveEnergyDensity,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m2 s,,waves__waverider-17m__4e2d54ee6b11/variables/waveEnergyDensity/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Energy Density,unique,complete_spectrum,1.0
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveEnergyDensity,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,m2 s,,waves__waverider-17m__4e2d54ee6b11/variables/waveEnergyDensity/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Energy Density,unique,complete_spectrum,1.0
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveEnergyDensity,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m2 s,,waves__waverider-17m__4e2d54ee6b11/variables/waveEnergyDensity/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Energy Density,unique,complete_spectrum,1.0
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,directionalWaveEnergyDensity,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m2 s deg-1,,waves__waverider-17m__4e2d54ee6b11/variables/directionalWaveEnergyDensity/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,2D Wave Energy Density Spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,directionalWaveEnergyDensity,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,m2 s deg-1,,waves__waverider-17m__4e2d54ee6b11/variables/directionalWaveEnergyDensity/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,2D Wave Energy Density Spectrum,unique,,
