run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,1,1650.0,431480.2156464123,4012435.73488763,15.507475852966309,waverider-17m,18.0,163.26233098665304,127.01156821934926,False,134.29508196721298,0.21569850954417058,-0.05423514875728608,0.300119549036026,0.9714285714285714
near,1,1700.0,431528.86625599826,4012447.2725731395,15.714129447937012,waverider-17m,18.0,158.40525594127413,127.99999999999986,True,134.29508196721298,0.1795313247580239,-0.04687500000000011,0.300119549036026,0.9980945121951219
near,1,1750.0,431577.51686558424,4012458.8102586493,15.852572441101074,waverider-17m,18.0,129.45882101615868,127.99999999999986,True,134.29508196721298,-0.03601219702323155,-0.04687500000000011,0.300119549036026,0.9980937857415173
near,1,1800.0,431626.1674751702,4012470.3479441586,15.956843376159668,waverider-17m,18.0,119.17179057108896,127.99999999999986,False,122.26865671641777,-0.025328373014774197,0.046875,0.300119549036026,0.9996189024390244
near,1,1850.0,431674.81808475615,4012481.885629668,16.041593551635742,waverider-17m,18.0,131.3626634301997,190.15202629330105,False,122.26865671641777,0.07437725217570668,0.5551984572328108,0.300119549036026,1.0
near,1,1900.0,431723.4686943421,4012493.423315177,16.06458282470703,waverider-17m,18.0,173.62380131751516,190.15202629330105,True,112.21917808219166,0.5471847529514917,0.6944699608655995,0.300119549036026,1.0
near,1,1950.0,431772.1193039281,4012504.9610006865,16.047510147094727,waverider-17m,18.0,197.9614744013543,190.15202629330105,True,122.26865671641777,0.6190696758899847,0.5551984572328108,0.300119549036026,1.0
near,1,2000.0,431820.7699135141,4012516.498686196,15.995624542236328,waverider-17m,18.0,197.79066299434146,127.01156821934926,False,122.26865671641777,0.617672658767199,0.038790902184620446,0.300119549036026,1.0
near,1,2050.0,431869.42052310007,4012528.036371705,15.957221984863281,waverider-17m,18.0,227.0948656680603,255.99999999999972,False,122.26865671641777,0.8573432616894601,1.09375,0.300119549036026,1.0
near,1,2100.0,431918.07113268605,4012539.574057215,15.853459358215332,waverider-17m,18.0,223.4128996880256,204.79999999999995,True,136.2334483840601,0.6399269220448351,0.5033018867924541,0.300119549036026,1.0
near,1,2150.0,431966.721742272,4012551.111742724,15.730786323547363,waverider-17m,18.0,223.39284090531683,204.79999999999995,True,122.26865671641777,0.8270654712715144,0.6750000000000016,0.300119549036026,1.0
near,1,2200.0,432015.372351858,4012562.6494282335,15.648528099060059,waverider-17m,18.0,268.44037531839433,204.79999999999995,False,135.93227226549257,0.9748097405014831,0.5066326530612257,0.300119549036026,1.0
near,1,2250.0,432064.022961444,4012574.187113743,15.51535701751709,waverider-17m,18.0,204.79999999999976,255.99999999999972,False,135.94227994227975,0.5065217391304351,0.8831521739130439,0.300119549036026,1.0
near,1,2300.0,432112.67357102997,4012585.724799252,15.395064353942871,waverider-17m,18.0,341.333333333333,228.9733608959782,False,134.22173675587098,1.5430555555555552,0.7059335278342143,0.300119549036026,1.0
near,1,2350.0,432161.3241806159,4012597.2624847614,15.29597282409668,waverider-17m,18.0,174.69395651741584,46.35430197376944,True,119.94451579758528,0.45645639032153884,-0.6135354612461352,0.300119549036026,1.0
near,1,2400.0,432209.9747902019,4012608.8001702707,15.2758207321167,waverider-17m,18.0,125.08385071375537,29.696757276965936,True,132.37538844002472,-0.05508227633698637,-0.7756625485528177,0.300119549036026,1.0
near,1,2450.0,432258.62539978785,4012620.33785578,15.231746673583984,waverider-17m,18.0,104.3506926738941,97.88205893793261,True,132.51068746389353,-0.21251112139669837,-0.2613270611504187,0.300119549036026,1.0
near,1,2500.0,432307.27600937383,4012631.87554129,15.21892261505127,waverider-17m,18.0,104.6584872657725,100.84334043626677,True,132.57142857142844,-0.2105502038142153,-0.2393282510195387,0.300119549036026,1.0
near,1,2550.0,432355.9266189598,4012643.413226799,15.234434127807617,waverider-17m,18.0,106.67502046443296,91.58934435839129,True,132.7714748784439,-0.19655166471490204,-0.3101730289413147,0.300119549036026,1.0
near,1,2600.0,432404.5772285458,4012654.9509123084,15.30872631072998,waverider-17m,18.0,114.90288775277438,103.97144730968249,True,134.29508196721298,-0.14439988367685008,-0.22579854908561547,0.300119549036026,1.0
near,1,2650.0,432453.2278381318,4012666.4885978177,15.361026763916016,waverider-17m,18.0,115.88363938899113,114.4866804479891,False,134.29508196721298,-0.1370969234950603,-0.1474990835782053,0.300119549036026,1.0
near,1,2700.0,432501.87844771775,4012678.026283327,15.423727989196777,waverider-17m,18.0,116.08202615595839,127.01156821934926,False,134.29508196721295,-0.13561967828204713,-0.054235148757285856,0.300119549036026,1.0
near,1,2750.0,432550.52905730373,4012689.5639688363,15.523346900939941,waverider-17m,18.0,153.17970659242647,170.6666666666665,False,134.29508196721298,0.14062037379614556,0.27083333333333326,0.300119549036026,1.0
near,1,2800.0,432599.1796668897,4012701.1016543456,15.586601257324219,waverider-17m,18.0,156.54989212872889,111.06839440315186,True,134.29508196721298,0.16571574949370982,-0.17295262956637325,0.300119549036026,1.0
near,1,2850.0,432647.83027647564,4012712.6393398554,15.643128395080566,waverider-17m,18.0,155.44674851102633,116.77991750702667,True,134.29508196721298,0.15750142323884475,-0.1304229775477742,0.300119549036026,1.0
near,1,2900.0,432696.4808860616,4012724.1770253647,15.68833065032959,waverider-17m,18.0,166.77157476980676,127.01156821934933,True,134.29508196721295,0.24182935314431453,-0.0542351487572853,0.300119549036026,1.0
near,2,550.0,430456.9367203048,4011991.0755363177,7.174581050872803,8m-array,8.0,84.02646416650973,85.33333333333324,True,100.8853058674594,-0.16710899130442636,-0.15415498223852286,0.15355214476585388,0.0
