acquisition_key,bin_index,frequency_hz,band_width_hz,spectral_wave_density,valid_spectral_wave_density,mean_wave_dir,valid_mean_wave_dir,principal_wave_dir,valid_principal_wave_dir,wave_spectrum_r1,valid_wave_spectrum_r1,wave_spectrum_r2,valid_wave_spectrum_r2,valid_joint
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,89,0.8,0.020000000000000018,0.0,True,120.0,True,76.0,True,0.39,True,0.41,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,90,0.82,0.019999999999999907,0.0,True,108.0,True,108.0,True,0.47,True,0.56,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,91,0.84,0.020000000000000018,0.0,True,128.0,True,100.0,True,0.46,True,0.26,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,92,0.86,0.020000000000000018,0.0,True,124.0,True,128.0,True,0.6,True,0.46,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,93,0.88,0.020000000000000018,0.0,True,124.0,True,112.0,True,0.59,True,0.35,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,94,0.9,0.020000000000000018,0.0,True,116.0,True,100.0,True,0.59,True,0.42,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,95,0.92,0.019999999999999907,0.0,True,124.0,True,84.0,True,0.52,True,0.36,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,96,0.94,0.020000000000000018,0.0,True,120.0,True,120.0,True,0.78,True,0.52,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,97,0.96,0.020000000000000018,0.0,True,100.0,True,92.0,True,0.61,True,0.39,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,0,0.025,0.0049999999999999975,0.0,True,188.0,True,232.0,True,0.14,True,0.48,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,1,0.03,0.005000000000000001,0.0,True,216.0,True,236.0,True,0.19,True,0.44,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,2,0.035,0.0050000000000000044,0.0,True,212.0,True,236.0,True,0.19,True,0.53,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,3,0.04,0.0049999999999999906,0.0,True,220.0,True,232.0,True,0.31,True,0.49,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,4,0.045,0.0050000000000000044,0.0,True,236.0,True,232.0,True,0.34,True,0.29,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,5,0.05,0.0050000000000000044,0.0,True,228.0,True,244.0,True,0.58,True,0.32,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,6,0.055,0.0049999999999999906,0.0,True,224.0,True,236.0,True,0.45,True,0.33,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,7,0.06,0.0050000000000000044,0.0,True,236.0,True,264.0,True,0.24,True,0.22,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,8,0.065,0.0050000000000000044,0.0,True,236.0,True,252.0,True,0.4,True,0.38,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,9,0.07,0.0050000000000000044,0.0,True,208.0,True,232.0,True,0.19,True,0.2,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,10,0.075,0.0049999999999999906,0.0,True,164.0,True,240.0,True,0.25,True,0.2,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,11,0.08,0.0050000000000000044,0.0,True,156.0,True,84.0,True,0.32,True,0.19,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,12,0.085,0.0049999999999999906,0.0,True,168.0,True,136.0,True,0.58,True,0.13,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,13,0.09,0.0050000000000000044,0.0,True,172.0,True,248.0,True,0.54,True,0.05,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,14,0.095,0.0050000000000000044,0.001,True,192.0,True,220.0,True,0.54,True,0.21,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,15,0.1,0.0050000000000000044,0.001,True,200.0,True,212.0,True,0.78,True,0.57,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,16,0.105,0.0049999999999999906,0.006,True,192.0,True,192.0,True,0.92,True,0.77,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,17,0.11,0.0050000000000000044,0.011,True,188.0,True,188.0,True,0.91,True,0.71,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,18,0.115,0.0049999999999999906,0.011,True,188.0,True,188.0,True,0.87,True,0.58,True,True
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,19,0.12,0.0050000000000000044,0.022,True,184.0,True,184.0,True,0.91,True,0.69,True,True
