run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,21,750.0,432003.41713121213,4008321.552993111,9.197266578674316,8m-array,8.0,108.56251670468319,98.08141160664577,True,105.85096364202626,0.02561670644612213,-0.07340086257179546,0.15355214476585388,0.0
near,21,800.0,432050.4179197999,4008338.6095423554,9.50423812866211,8m-array,8.0,101.70899143217633,98.08141160664577,True,122.14091910713246,-0.1672815942791035,-0.19698154947879154,0.15355214476585388,0.0
near,22,600.0,431940.83427797206,4008054.498233755,8.02844524383545,8m-array,8.0,133.65939292159726,108.7639778974942,True,118.6725706799005,0.12628716270182783,-0.08349522324862313,0.15355214476585388,0.0
near,22,650.0,431987.8171547788,4008071.6040598666,8.436487197875977,8m-array,8.0,136.84906336579425,104.24045538494197,True,106.92515872382894,0.2798584074984083,-0.025108247403411887,0.15355214476585388,0.0
near,22,700.0,432034.80003158556,4008088.709885978,8.812234878540039,8m-array,8.0,139.7295977504359,95.07601314665045,True,108.75693123212619,0.2847879778090001,-0.12579352810420663,0.15355214476585388,0.0
near,22,750.0,432081.7829083923,4008105.81571209,9.156109809875488,8m-array,8.0,130.51186771884392,127.99999999999986,False,111.40038726086063,0.17155667882222803,0.14900857301571824,0.15355214476585388,0.0
near,23,600.0,432019.4140865042,4007839.8433812805,7.960633754730225,8m-array,8.0,111.65913424132981,108.7639778974942,True,107.42168694109513,0.039446851198289945,0.012495530414962763,0.15355214476585388,0.0
near,23,650.0,432066.3296852367,4007857.1328750723,8.36819839477539,8m-array,8.0,141.9203905144158,103.97144730968249,True,108.2121917669104,0.3115009334633294,-0.03918915593505845,0.15355214476585388,0.0
near,23,700.0,432113.24528396915,4007874.422368864,8.74514389038086,8m-array,8.0,146.48186832685525,103.97144730968249,True,116.360987446101,0.2588572127295361,-0.1064750343594103,0.15355214476585388,0.0
near,23,750.0,432160.1608827016,4007891.711862656,9.089040756225586,8m-array,8.0,134.0240277370021,122.42710783477969,False,111.40980555819607,0.20298233234949192,0.0988898797676172,0.15355214476585388,0.0
