run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction,dominant_source_class,block
near,0,1750.0,431527.58591597894,4012666.9484045785,15.741072654724121,waverider-17m,18.0,129.6266213086399,127.99999999999986,True,134.29508196721298,-0.034762707540644366,-0.04687500000000011,0.300119549036026,0.9978157990535129,4,0_1
near,0,1800.0,431576.08794591617,4012679.095547945,15.906339645385742,waverider-17m,18.0,130.01179749254547,35.4794971481721,True,122.26865671641777,0.06332891015631792,-0.7098234486172444,0.300119549036026,1.0,4,0_1
near,0,1850.0,431624.5899758534,4012691.2426913115,16.039630889892578,waverider-17m,18.0,130.231871599619,35.4794971481721,True,122.26865671641777,0.06512883266290093,-0.7098234486172444,0.300119549036026,1.0,4,0_1
near,0,1900.0,431673.0920057906,4012703.389834678,16.134387969970703,waverider-17m,18.0,174.2794155277274,190.15202629330105,True,122.26865671641777,0.4253809619577331,0.5551984572328108,0.300119549036026,1.0,4,0_1
near,0,1950.0,431721.59403572785,4012715.5369780445,16.208066940307617,waverider-17m,18.0,178.29434320313598,228.9733608959782,False,112.21917808219166,0.588804572000603,1.0404120294685582,0.300119549036026,1.0,4,0_1
near,0,2000.0,431770.09606566513,4012727.684121411,16.22919273376465,waverider-17m,18.0,341.333333333333,127.01156821934926,False,122.26865671641777,1.791666666666667,0.038790902184620446,0.300119549036026,1.0,4,0_1
near,1,550.0,430409.9022355208,4012181.905806424,7.006286144256592,waverider-17m,18.0,80.68834652002018,85.33333333333324,True,103.69620253164545,-0.22187751769023423,-0.17708333333333326,0.15355214476585388,0.0,3,0_0
near,1,600.0,430458.5528451068,4012193.443491934,7.407498359680176,waverider-17m,18.0,90.96270366178793,85.33333333333324,True,93.35519135992264,-0.02562779491191547,-0.0859283550248624,0.15355214476585388,0.0,3,0_0
near,1,650.0,430507.2034546928,4012204.981177443,7.794468879699707,waverider-17m,18.0,92.05183282348679,93.09090909090897,True,88.39147482060287,0.0414107583374177,0.05316614843053524,0.15355214476585388,0.0,3,0_0
near,1,700.0,430555.85406427877,4012216.5188629525,8.16458797454834,waverider-17m,18.0,87.70785993919098,93.09090909090897,True,98.6987951807228,-0.11135835266688743,-0.05681818181818221,0.15355214476585388,0.0,3,0_0
near,1,750.0,430604.50467386475,4012228.056548462,8.529587745666504,waverider-17m,18.0,88.62213144919961,102.39999999999988,True,97.62071083019892,-0.09217899874393864,0.048957737852514116,0.15355214476585388,0.0,3,0_0
near,1,800.0,430653.1552834507,4012239.594233971,8.879638671875,waverider-17m,18.0,117.48807739866051,127.12026448932349,True,100.51762263318335,0.16883064203982467,0.2646564966346303,0.15355214476585388,0.0,3,0_0
near,1,850.0,430701.80589303665,4012251.1319194804,9.219343185424805,waverider-17m,18.0,142.22760727991692,127.12026448932349,True,104.75152843091601,0.35776164233934327,0.21354090382709523,0.23201750218868256,0.0,3,0_0
near,1,900.0,430750.45650262263,4012262.6696049897,9.547554969787598,waverider-17m,18.0,117.80627035330897,127.12026448932349,True,103.04899801516737,0.14320636417997523,0.23359049517990615,0.23201750218868256,0.0,3,0_0
near,1,950.0,430799.1071122086,4012274.2072904995,9.886323928833008,waverider-17m,18.0,115.97527715183087,119.85013472883753,True,104.6944445587591,0.10775005914225444,0.14476116888487223,0.23201750218868256,0.0,3,0_0
near,1,1000.0,430847.7577217946,4012285.744976009,10.2235689163208,waverider-17m,18.0,124.19664255897224,119.85013472883753,True,107.69488662273251,0.1532269214790789,0.11286745812441623,0.23201750218868256,0.0,3,0_0
near,1,1050.0,430896.4083313806,4012297.282661518,10.572736740112305,waverider-17m,18.0,124.99274702572947,124.17824001860234,True,108.47127535549822,0.15231195186084623,0.1448029868887124,0.300119549036026,0.0003636363636363636,3,0_1
near,1,1100.0,430945.05894096656,4012308.8203470274,10.950528144836426,waverider-17m,18.0,125.56548189757757,127.01156821934933,True,118.82020934807481,0.056768731401095174,0.0689391048561323,0.300119549036026,0.011285038223516564,3,0_1
near,1,1150.0,430993.70955055254,4012320.3580325367,11.324808120727539,waverider-17m,18.0,116.07064469059539,127.01156821934933,True,113.54700583353252,0.022225498933566623,0.11858139531707912,0.300119549036026,0.045520757465404224,3,0_1
near,1,1200.0,431042.3601601385,4012331.895718046,11.764097213745117,waverider-17m,18.0,115.20367497383295,127.01156821934933,True,117.63314594368305,-0.02065294565031195,0.07972601770045507,0.300119549036026,0.13828238719068414,3,0_1
near,1,1250.0,431091.0107697245,4012343.4334035553,12.208144187927246,waverider-17m,18.0,114.55298857057086,124.17824001860234,True,119.63328728147661,-0.0424655948720416,0.03799070342715094,0.300119549036026,0.23326055312954877,3,0_1
near,1,1300.0,431139.6613793104,4012354.9710890646,12.64998722076416,waverider-17m,18.0,114.14203673876113,119.85013472883753,True,130.03174603174588,-0.12219869207251466,-0.07830096583047208,0.300119549036026,0.32751091703056767,3,0_1
near,1,1350.0,431188.3119888964,4012366.5087745744,13.083518028259277,waverider-17m,18.0,125.66528879661088,114.4866804479891,True,119.92290066940332,0.04788399959602252,-0.045330960067422654,0.300119549036026,0.42097596504005824,3,0_1
near,1,1400.0,431236.9625984824,4012378.0464600837,13.509503364562988,waverider-17m,18.0,125.3241746492994,114.4866804479891,True,120.26519727679917,0.04206518167393525,-0.048048121648280206,0.300119549036026,0.5165635238441937,4,0_1
near,1,1450.0,431285.61320806836,4012389.584145593,13.921276092529297,waverider-17m,18.0,140.1825219460588,114.4866804479891,True,118.7246376811593,0.18073657400855336,-0.03569568470321571,0.300119549036026,0.6124454148471615,4,0_1
near,1,1500.0,431334.26381765434,4012401.1218311023,14.315237045288086,waverider-17m,18.0,142.65128955965315,127.01156821934926,True,120.76942776802,0.18118709507893782,0.05168642898034981,0.300119549036026,0.7073170731707317,4,0_1
near,1,1550.0,431382.9144272403,4012412.6595166116,14.672836303710938,waverider-17m,18.0,147.20702618496213,127.01156821934926,True,132.7161734625542,0.10918678819877603,-0.04298349699491966,0.300119549036026,0.8027656477438136,4,0_1
