transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi
2,1300.0,1436.5083395012446,2064.5044219864308,127.20742271998802,123.2158228282519,63.434948822921996,False,12.709199415187586,20.98265062504146,10.107776177650603,16.095130081605827,20.98265062504146,12.709199415187586
2,1350.0,1486.5005016062398,2066.351240643992,124.72973750632853,122.88392925781184,92.79270236571331,False,12.63048665431065,20.816237420368488,10.048350942452076,15.98647957919468,20.816237420368488,12.63048665431065
2,1400.0,1536.4927659047967,2068.1977625772406,122.98599072385409,124.36643613340092,92.20259816176579,False,12.984854819868946,21.572012672755566,10.315535590067874,16.47687323072626,21.572012672755566,12.984854819868946
2,1450.0,1586.4851323903376,2070.0439877825256,123.85485863623737,123.53578580552262,90.92404535277268,False,12.785420254889491,21.144579774049824,10.165277833672395,16.200490379653527,21.144579774049824,12.785420254889491
2,1500.0,1636.477601058959,2071.889916256148,123.05417108059655,123.20067252037623,88.8982938847936,False,12.705598574724114,20.975019920603295,10.105058643179126,16.09015627622566,20.975019920603295,12.705598574724114
2,1550.0,1686.470171907741,2073.7355479974053,123.05417108059655,122.95683087631548,88.8982938847936,False,12.647745729208447,20.85265646951358,10.061384700215426,16.01028963053048,20.85265646951358,12.647745729208447
2,1600.0,1736.4628449305824,2075.580883,123.05417108059655,122.53921564977809,88.8982938847936,False,12.54910899817129,20.645041903629537,9.98686727339202,15.874314307328433,20.645041903629537,12.54910899817129
2,1650.0,1786.4556201245637,2077.42592126323,121.76678250355044,122.01083566427887,87.27368900609372,False,12.425110804178077,20.385818977466357,9.893091554614248,15.703720999728379,20.385818977466357,12.425110804178077
2,1700.0,1836.448497485536,2079.2706627826474,121.76678250355044,121.48245567877966,87.27368900609372,False,12.301999665508438,20.130361179561916,9.799878599812457,15.534723035508103,20.130361179561916,12.301999665508438
2,1750.0,1886.4414770078904,2081.1151075534526,120.41227115310043,120.58320390861181,85.6839724801344,False,12.094495694303939,19.703971200223744,9.642525282352178,15.25071039053451,19.703971200223744,12.094495694303939
2,1800.0,1936.4345586872457,2082.959255574593,120.41227115310043,119.70941207766391,85.6839724801344,False,11.895275470626366,19.299381886305618,9.491168255156547,14.979004292225842,19.299381886305618,11.895275470626366
2,1850.0,1986.4277425214054,2084.8031068434693,118.55791222975725,119.19506947119228,84.68545433005525,False,11.779105418597014,19.065547385060594,9.402779917314255,14.820996905416601,19.065547385060594,11.779105418597014
2,1900.0,2036.4210285050058,2086.646661356032,117.39782334881102,114.32024158184373,84.73760460040488,False,10.717254639610628,16.993940612520817,8.590535351323958,13.390842110751683,16.993940612520817,10.717254639610628
