geometry,centre_offset_m,transect_slc,distance_m,E,N,band,band_name,window_class,dominant_class_name,depth_mean_m,lambda_pred_m,slc_lambda_contour_m,grd_lambda_contour_m,slc_lambda_centroid_m,grd_lambda_centroid_m,slc_rel_err_contour,grd_rel_err_contour,slc_rel_err_centroid,grd_rel_err_centroid,slc_identifiable,grd_identifiable,forward_source,block
far,44.88715971131079,13,7600.0,439253.7401970655,4008282.849471161,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.77143383026123,154.47185997476177,127.01156821934931,511.99999999999943,682.666666666666,682.666666666666,-0.17766493904068714,2.314100599922591,3.419918144611187,3.418800799896788,True,False,block39_sector72,1_7
far,44.34552373670675,13,7700.0,439346.8677348994,4008319.2810741593,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.547624588012695,153.25335079187244,134.16894097006954,145.62676627660082,102.69030524047318,552.6005361077148,-0.12386347345623705,-0.050485276457054806,-0.32942209506462705,2.6030625323052914,True,True,block39_sector72,1_7
far,43.878441792956835,13,7800.0,439439.9952727332,4008355.712677157,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,21.276848793029785,152.4793033819128,145.62676627660082,167.77869732229925,148.71794019704515,160.74910040153787,-0.041985139254419046,0.09695323543812417,-0.02164965678335995,0.050993055694672274,True,True,block39_sector72,1_7
far,43.48831616722541,13,7900.0,439533.1228105671,4008392.144280155,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.972652435302734,150.74687199476375,175.61455118592883,175.61455118592883,152.04668445520423,171.0683717071596,0.1655033164040074,0.16442348848780308,0.009090156732828092,0.13427975533920122,True,True,block39_sector72,1_7
far,43.177232913993684,13,8000.0,439626.25034840096,4008428.5758831534,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.684022903442383,150.34086944652347,175.61455118592883,175.61455118592883,171.6405936281768,171.38010754061654,0.16878691728919515,0.16743224759638964,0.14233859867324172,0.13928295114695466,True,True,block39_sector72,1_7
far,42.946909682879586,13,8100.0,439719.3778862348,4008465.007486151,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.436389923095703,149.91103517883806,175.61455118592883,175.61455118592883,171.1194811242455,171.13049330622647,0.1721269015146032,0.17079079082158422,0.1421248743026684,0.14089637925025467,True,True,block39_sector72,1_7
far,42.798650337360456,13,8200.0,439812.50542406866,4008501.4390891492,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.267958641052246,148.5124069847977,175.61455118592883,175.61455118592883,170.7185391023247,170.1515613859628,0.18240536308044497,0.18257619863184504,0.14944072030872446,0.14578880449405207,True,True,block39_sector72,1_8
far,42.73330902525218,13,8300.0,439905.63296190253,4008537.870692147,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.16068744659424,148.61575043244687,175.61455118592883,167.77869732229925,141.87877545788146,169.16076098296966,0.181441942259976,0.1291594407761214,-0.04551453788723847,0.13846080176596032,True,True,block39_sector72,1_8
far,42.751265945926086,13,8400.0,439998.7604997364,4008574.302295145,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.129555702209473,148.67756569065347,167.77869732229925,167.77869732229925,139.6766903517101,160.10415118244202,0.12847280968523633,0.1284742494488489,-0.06054016556141306,0.07685549311532425,True,True,block39_sector72,1_8
far,42.85241638338331,13,8500.0,440091.8880375702,4008610.7338981433,3,C_20_30m,legacy_calibrated,legacy_bias_corrected,20.14725685119629,148.66827750783807,158.2160494462784,167.77869732229925,138.93462566356385,159.09662102835208,0.06425408654727538,0.1285099925873967,-0.06544409595077372,0.07011277046983455,True,True,block39_sector72,1_8
