run,product,transect,distance_m,band_name,depth_navd88_m,lambda_sar_contour_m,lambda_pred_base_m,rel_err_base,lambda_pred_histogram_m,rel_err_forward_check,block,lambda_pred_eta+0.000_m,rel_err_eta+0.000,lambda_pred_eta+0.235_m,rel_err_eta+0.235,lambda_pred_eta-0.100_m,rel_err_eta-0.100,lambda_pred_eta+0.435_m,rel_err_eta+0.435,lambda_pred_wr17_discrete_max_m,lambda_pred_wr17_published_Tp_m,lambda_pred_wr17_lobe_Tmin_m,lambda_pred_wr17_lobe_Tmax_m,rel_err_wr17_discrete_max,rel_err_wr17_published_Tp,rel_err_wr17_lobe_Tmin,rel_err_wr17_lobe_Tmax,lambda_pred_awac-11m_m,rel_err_awac-11m,lambda_pred_8m-array_m,rel_err_8m-array,lambda_pred_waverider-26m_m,rel_err_waverider-26m,lambda_pred_current_diag_m,rel_err_current_diag
slc_near,slc,14,1350.0,B_12_20m,11.92514705657959,87.48622415019622,113.77132861949671,-0.23103452151121384,119.57998703664006,-0.27713749807455956,1_1,113.77132861949671,-0.23103452151121384,114.72887148328492,-0.23745241263928696,113.35959877133527,-0.22824158608156198,115.5329426510901,-0.24275949229125982,119.84109160594963,115.61412880730127,99.45035480114001,132.80746571149294,-0.2699814147399432,-0.2432912391182479,-0.12030254366479787,-0.34125522476086745,108.66591320421037,-0.19490646541765333,122.1524828382359,-0.2837949576018648,120.77042018646263,-0.2755989089453983,118.40570127965297,-0.2611316583179598
slc_near,slc,14,1400.0,B_12_20m,12.143709182739258,103.97144730968249,114.66234488073222,-0.09323808598341532,121.1179933007769,-0.14964758670059375,1_1,114.66234488073222,-0.09323808598341532,115.60707096839629,-0.10064802750598745,114.25617106046414,-0.0900146018838579,116.40049012757603,-0.10677826875360408,120.7974727973763,116.52753150610789,100.19678494828078,133.89422111429732,-0.13929120450986177,-0.10775208256915036,0.03767248982440008,-0.223480696594602,109.50606519396426,-0.050541656066981244,123.12594439058124,-0.1555683262021259,121.72973192190759,-0.14588288606120847,119.35898122385188,-0.1289181070112423
slc_near,slc,14,1450.0,B_12_20m,12.36467170715332,103.97144730968249,115.55101969634242,-0.10021177153685012,121.90192853249715,-0.1587150353130582,1_1,115.55101969634242,-0.10021177153685012,116.48309512426266,-0.10741170468755923,115.15032793050528,-0.09708075366984104,117.26599557777362,-0.11337087279725411,121.75191124366937,117.43879301344649,100.94025060747342,134.9796036710767,-0.14603847900507927,-0.11467544376262462,0.030029613399678246,-0.22972475483744959,110.34367188611007,-0.057748890058730296,124.09737103099977,-0.16217848576574423,122.68694098587126,-0.1525467464246587,120.31027817909343,-0.13580577750048106
slc_near,slc,14,1500.0,B_12_20m,12.540339469909668,114.4866804479891,116.24901892165327,-0.015160028790022873,122.69607790404436,0.03000858401831663,1_1,116.24901892165327,-0.015160028790022873,117.17124842518155,-0.022911490773324328,115.85259247072976,-0.011790085949831108,117.94595900932218,-0.029329352106583495,122.50197149178227,118.15471797079599,101.523481188856,135.83316455602844,-0.06542989427995327,-0.031044359343428862,0.12768670959005735,-0.15715222550995156,111.00131930990246,0.03139927669108089,124.86074029423789,-0.08308504195796063,123.43906824294872,-0.07252475186656326,121.0578364855637,-0.054281128990424476
slc_near,slc,17,1500.0,B_12_20m,11.978988647460938,102.39999999999988,113.99194889824663,-0.10169094405600654,120.34407641067608,-0.15133607942543303,1_1,113.99194889824663,-0.10169094405600654,114.94630567555446,-0.10914927280018527,113.58160039595859,-0.09844552600930401,115.74772934676442,-0.11531741851087685,120.07784391745844,115.84026817470567,99.63526748658234,133.0764151080059,-0.14721986455394986,-0.11602414589057852,0.02774853305622793,-0.23051729401568866,108.87397040738492,-0.059462977084060786,122.39346867126122,-0.16335404893999816,121.00791214184234,-0.15377434262340428,118.64169018176902,-0.13689698921926607
slc_near,slc,18,1500.0,B_12_20m,11.954596519470215,103.97144730968249,113.89209179968881,-0.08710564827849998,120.34407641067608,-0.13817571603213652,2_1,113.89209179968881,-0.08710564827849998,114.84788962835542,-0.09470302287546417,113.48111853691468,-0.08379959018591054,115.65051078689109,-0.10098583566768315,119.97068087520546,115.73791109071489,99.5515798630178,132.95467220254625,-0.13335952958511177,-0.10166473258541786,0.04439776297620179,-0.21799327855669515,108.77980213254307,-0.04420264358453074,122.28438980350157,-0.14975699288556854,120.90041545740266,-0.1400240692612411,118.53487303662419,-0.1228619506973444
slc_near,slc,22,1500.0,B_12_20m,12.02971076965332,131.2293362252943,114.1991123249537,0.14912746302161328,120.34407641067608,0.08926310500114987,2_1,114.1991123249537,0.14912746302161328,115.15048493014683,0.1396333789206472,113.79005751405148,0.1532583697753147,115.94942861215972,0.13178079267854326,120.30018683083111,116.05262832083581,99.80884598544029,133.3290415187164,0.09084898105629735,0.13077435749668154,0.31480666798249035,-0.01574829661643773,109.06931843219812,0.20317370743333063,122.61978429804581,0.07021339970980267,121.2309412169487,0.08247395349717679,118.8633135773884,0.1040356547005965
slc_near,slc,25,1400.0,B_12_20m,12.064217567443848,124.17824001860234,114.33967567012984,0.08604681000545056,120.34407641067608,0.02944024889566621,2_1,114.33967567012984,0.08604681000545056,115.28902762656385,0.0771037155489922,113.93149678412125,0.08993775666703252,116.0862919028493,0.0697063191795726,120.45106709380268,116.1967256229387,99.926590823722,133.50049743323626,0.03094346123058478,0.06868966705278634,0.24269465209377628,-0.06982938336462752,109.20185454480868,0.1371440580035974,122.77335866937352,0.011442884388396912,121.3822824107646,0.02303431400619127,119.01370415713873,0.04339446367155042
slc_near,slc,26,1350.0,B_12_20m,12.01846981048584,114.4866804479891,114.1532573347513,0.0029208374865734577,120.34407641067608,-0.006596962968111186,2_1,114.1532573347513,0.0029208374865734577,115.10528984735562,-0.005374291661025099,113.7439164517405,0.006530142617022783,115.90478196668842,-0.012235056178328207,120.25096927567775,116.00562185776178,99.77042954847069,133.27311659353583,-0.047935487442715696,-0.01309368792173804,0.14750112800074633,-0.1409619331019526,109.02608030355984,0.05008526518815848,122.56968761151091,-0.06594621656490796,121.18157248289474,-0.05524678296983354,118.81425550898584,-0.03642302889041327
slc_near,slc,26,1400.0,B_12_20m,12.24129581451416,119.85013472883753,115.0563082531643,0.04166504686666217,121.1179933007769,0.11664204375684184,2_1,115.0563082531643,0.04166504686666217,115.99541000270003,0.033231700513389084,114.65257193046136,0.04533315485960987,116.78415324580597,0.026253403375527506,121.22051916277665,116.93147563479202,100.52649966025321,134.37520340545765,-0.011304888342368424,0.02496042300159851,0.19222429044970135,-0.10809337071507785,109.87743128072583,0.09076207308334716,123.55652780851307,-0.02999754966746615,122.15402553397149,-0.018860539348277472,119.78064093575023,0.0005801754986816121
