run,product,geometry,transect,distance_m,E,N,band,band_name,window_class,dominant_class_name,admissible_fraction,depth_mean_m,forward_source,lambda_contour_m,lambda_centroid_m,lambda_pred_m,identifiable,rel_err_contour,rel_err_centroid,block
slc_near,slc,near,36,950.0,433400.56672002503,4005328.0049568256,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.018552200800291015,10.774272918701172,block39_sector72,114.4866804479891,117.5622471607709,113.29962748700258,True,0.010477112655314702,0.037622539176108916,4_0
slc_near,slc,near,36,1000.0,433438.9694013136,4005360.024233361,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,11.076186180114746,block39_sector72,103.97144730968249,115.99886990115901,113.86849063351738,True,-0.08691643551935935,0.018709120106792376,4_0
slc_near,slc,near,36,1050.0,433477.37208260206,4005392.0435098964,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,11.368917465209961,block39_sector72,103.97144730968249,114.75287245209326,114.28031436519038,True,-0.09020684894657549,0.004135078639990297,4_1
slc_near,slc,near,36,1100.0,433515.77476389054,4005424.062786432,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,11.615703582763672,block39_sector72,119.85013472883753,106.59639204301514,111.40722342389249,True,0.07578423593612671,-0.043182400862578296,4_1
slc_near,slc,near,36,1150.0,433554.1774451791,4005456.082062967,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,11.883504867553711,block39_sector72,119.85013472883753,97.25174716109743,112.75076382790057,True,0.06296516901449323,-0.137462631210733,4_1
slc_near,slc,near,36,1200.0,433592.58012646757,4005488.1013395027,2,B_12_20m,mixed_source,bluetopo_direct_2019_2020_certified,0.8859426080639302,12.13553524017334,block39_sector72,103.97144730968249,112.88084855655273,113.09795071133271,False,-0.08069556825962654,-0.0019195940635042819,4_1
slc_near,slc,near,36,1250.0,433630.98280775605,4005520.1206160383,2,B_12_20m,mixed_source,bluetopo_direct_2019_2020_certified,0.8095238095238095,12.37479305267334,block39_sector72,23.788236468463676,115.94983669209162,113.41546352653715,True,-0.7902557929157723,0.022345922564267262,4_1
slc_near,slc,near,36,1300.0,433669.3854890446,4005552.1398925735,2,B_12_20m,mixed_source,bluetopo_direct_2019_2020_certified,0.7198401162790697,12.600787162780762,block39_sector72,95.07601314665045,115.61072397325876,117.79329529130807,True,-0.19285717483730092,-0.018528824689484358,4_1
slc_near,slc,near,36,1350.0,433707.7881703331,4005584.159169109,2,B_12_20m,mixed_source,bluetopo_direct_2019_2020_certified,0.6234994543470352,12.81559944152832,block39_sector72,91.58934435839129,85.96795164655775,124.4188649080734,True,-0.2638628842494113,-0.309044076956698,4_1
slc_near,slc,near,36,1400.0,433746.19085162156,4005616.1784456447,2,B_12_20m,mixed_source,bluetopo_direct_2019_2020_certified,0.5327272727272727,13.011216163635254,block39_sector72,91.58934435839129,87.27635822105117,124.48351178588351,False,-0.2642451755704922,-0.29889222300243334,4_1
