row,col,kx_rad_m,ky_rad_m,k_rad_m,wavelength_m,angle_from_parallel_deg,vector_bearing_grid_north_deg,power,relative_power,endpoint_MSC,min_adjacent_MSC,fixed_diagnostic,pre_coherence_candidate,common_candidate,common_exclusions,evaluated,s_phi_A,s_phi_B,s_phi_C,A_valid,B_valid,C_valid,intersection,A_rmse,A_R2,A_max_step,A_unwrap_valid,reference_slope_span,telescoping_error,B_rms,C_rms,B_ambiguous,C_ambiguous,B_boundary,C_boundary,delta_B_A,delta_C_A,A_exclusions,B_exclusions,C_exclusions,lag1_s_phi,lag1_valid,lag1_ambiguous,lag2_s_phi,lag2_valid,lag2_ambiguous,lag4_s_phi,lag4_valid,lag4_ambiguous,lag8_s_phi,lag8_valid,lag8_ambiguous
112,66,-0.13962634015954636,0.00966643893412244,0.13996054768404012,44.89254587202552,176.03968816954162,255.8754118695416,44256.605509959896,0.025697225607671213,0.040836891206578595,0.008987923658448846,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,67,-0.13962634015954636,0.01933287786824488,0.14095841597087355,44.574744004486334,172.11686068327026,251.95258438327028,30782.213044335364,0.017873432998056483,0.005233978856974581,0.00814595179416396,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,68,-0.13962634015954636,0.02899931680236732,0.1426060140434246,44.05974985926126,168.26691584358775,248.10263954358777,27459.579330205102,0.015944173689082942,0.2495062193743183,0.004264148281830106,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,69,-0.13962634015954636,0.03866575573648976,0.14488117729029965,43.367850984465115,164.52136183458165,244.35708553458164,13929.17779321189,0.008087859883446676,0.05953996453609476,0.004964617825905017,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,70,-0.13962634015954636,0.04833219467061221,0.14775491838861846,42.52437330481162,160.9065079995144,240.74223169951438,34407.35541696659,0.019978341414235587,0.04639053692676977,0.0037839208923388813,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,71,-0.13962634015954636,0.05799863360473464,0.1511931095201286,41.55735223067884,157.44275336529435,237.27847706529434,24249.349579043777,0.014080180795423584,0.07627442379188883,0.0007845293634676609,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,72,-0.13962634015954636,0.06766507253885708,0.15515823184104072,40.49533970983052,154.14445781119667,233.9801815111967,21595.668023118,0.012539342928448131,0.28157605406889374,0.013998443502075587,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,57,-0.13526301702956053,-0.07733151147297952,0.15580836448225346,40.3263671245021,-150.24287143567352,289.5928522643265,122902.72321665584,0.07136243211388667,0.1374536143869094,0.08568944515850871,False,True,True,,True,0.35549113580713265,0.7118712823295152,0.8936889748623459,False,False,False,False,1.6982281879374195,0.6495308711702681,2.8173770937181812,False,1.1102230246251565e-16,1.7763568394002505e-15,0.8855236727547086,1.2311241456525281,False,False,False,False,0.3563801465223826,0.5381978390552132,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.7118712823295152,False,False,0.8730848670855531,False,False,3.164138627107226,False,True,-2.4555221709615336,False,True
113,58,-0.13526301702956053,-0.06766507253885708,0.15124366372720535,41.54346140749685,-153.42357609986513,286.41214760013486,95457.89215611496,0.055426821883490116,0.0189913798645618,0.10843047119759773,False,True,False,low_endpoint_MSC,True,0.9183805808696562,0.8634275039386626,1.009271744028518,False,False,False,False,1.1991611560411408,0.9612508748475385,2.6463435399041693,False,2.220446049250313e-16,0.0,1.1165698566847462,1.319623273644945,False,False,False,False,-0.054953076930993605,0.0908911631588617,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.8634275039386626,False,False,0.8478746892947905,False,False,-1.4420917973735365,False,True,-2.2990270671446886,False,True
113,59,-0.13526301702956053,-0.05799863360473464,0.1471731132916452,42.6924807571919,-156.7911149821481,283.04460871785193,70634.90346576755,0.041013562364773215,0.21188192478242515,0.14415260008866534,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,60,-0.13526301702956053,-0.04833219467061221,0.1436387302144416,43.74297445959925,-160.33717000371325,279.49855369628676,146556.14788476558,0.08509659412397759,0.3251882792426386,0.007382947874785374,False,True,True,,True,0.6456580573643874,0.7454890403476042,0.8273950440835821,False,False,False,False,1.403672272785407,0.8994840061178945,2.974607343855452,False,2.220446049250313e-16,-1.7763568394002505e-15,0.9407606524269603,0.896522814507956,False,False,False,False,0.0998309829832168,0.1817369867191947,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.7454890403476042,False,False,0.8593542707092585,False,False,3.0591565405712107,False,True,3.056451432799439,False,True
