phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
evaluation,stress_unresolved,0,constant,0.16481024388363608,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,0,geometry,0.1326773961124076,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,1,constant,0.2283452013327102,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,1,geometry,0.15946828849068018,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,2,constant,0.1986229043934593,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,2,geometry,0.1600320691403161,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,3,constant,0.200462386814939,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,3,geometry,0.14521437815876093,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,4,constant,0.18353612182764445,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,4,geometry,0.14503208972124693,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,5,constant,0.22655867637282068,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,5,geometry,0.16893413464456342,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,6,constant,0.2041898013064991,True,False,0.3999999999999999,0.46666666666666656,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,0,False
evaluation,stress_unresolved,6,geometry,0.1268952125793823,False,False,0.3999999999999999,0.3999999999999999,0.4,0.42300000000000004,0.02300000000000002,0.005750000000000005,1,False
