scale,correlation_s,partition,replicate,error,gain,improved_folds,stable,category,slope_span,offset_ratio_cv,offset_ratio,delta_s
0,0,primary,65,,-0.050627825692390216,1,True,no_predictive_advantage,0.013920638799534923,0.3377392967934069,0.038370409186520266,0.00024728338828677865
0,0,primary,66,,-0.1096139895332684,0,True,no_predictive_advantage,0.012527607384117567,0.20611372084271198,0.07653158684774473,-0.0003966247075692375
0,0,primary,67,,-0.14204808147896952,2,True,no_predictive_advantage,0.028658745858673562,0.24401571276884448,0.12088402090983644,-0.0002843252622226067
0,0,primary,68,,0.06594782197335214,2,True,descriptive_or_unstable,0.014799394811081223,0.19027853844745135,0.10242089055706467,0.00011527770094182932
0,0,primary,69,,-0.14330467093657773,1,False,no_predictive_advantage,0.019966031919603056,0.5474762503409808,0.059461097870463664,0.00011462735092254706
0,0,primary,70,,-0.26128947358818544,0,False,no_predictive_advantage,0.029141337197850448,0.5270624838342733,0.029479188306599804,0.00017916352538382974
0,0,primary,71,,0.10343511505232061,2,True,descriptive_or_unstable,0.03135637763873855,0.34235829181425914,0.10487241544759134,1.459905134615358e-05
0,0,primary,72,,-0.1133635552443486,1,True,no_predictive_advantage,0.007421643721982341,0.34471591391487705,0.07506438160488768,0.0007658591120292546
0,0,primary,73,,0.3540033648290356,4,True,repeated_predictive_stable,0.009016324323487868,0.10524218804407763,0.15892919487673982,-0.0002561400572971273
0,0,primary,74,,-0.01991674005677968,2,True,no_predictive_advantage,0.00944641330819962,0.32893249519615436,0.09086358345370533,-0.0008567287362505338
0,0,primary,75,,0.04611541595659663,3,True,descriptive_or_unstable,0.0071851383440126315,0.35898913029251167,0.0733792497944158,-4.1791558829051834e-05
0,0,primary,76,,0.010195546444139114,3,True,descriptive_or_unstable,0.005570830262868309,0.493288922363346,0.11203183750329238,-4.959435325713191e-05
0,0,primary,77,,-0.05769227268536481,2,True,no_predictive_advantage,0.012736287137024516,0.21273782776855646,0.06242611219440993,0.00021471261207345327
0,0,primary,78,,-0.08519425256216051,3,False,no_predictive_advantage,0.008807031792981479,0.5220291312471996,0.07402639738925369,2.5691109837244763e-05
0,0,primary,79,,0.0010172278429739778,3,True,descriptive_or_unstable,0.019692759745038424,0.3866296203144149,0.10096921871255846,-6.737381895000061e-05
0,0,primary,80,,0.022894810109803765,2,True,descriptive_or_unstable,0.008318213089579918,0.13190201641823027,0.11374404543767139,-0.00015095608987530929
0,0,primary,81,,-0.042467056648127555,0,True,no_predictive_advantage,0.005927129349051818,0.4627180152429134,0.024164337123429223,7.597069467135675e-05
0,0,primary,82,,-0.1897052067462417,0,False,no_predictive_advantage,0.013222068513396912,0.5538767346276477,0.032425929495935465,0.0002039244755606684
