phase,family,replicate,axis,separation_bins,ratio,noise_tau_s,score,valid_structure,denominator,E_early,E_mid1,E_mid2,E_late,pair_counts,truth_primary_s,ols_s,circular_s,r2,frozen_valid,relative_slope_error,B_slope_error_over_10pct,block15i_detects_B,block15i_m1_gain,block15i_amp_corr,A_slopes,control,decision,block15i_decision
calibration,B_static_observed,2,radial,2.223,0.3,0.0,0.19287817905203958,True,0.01980662990515538,1.103052314571084,1.7569981613112642,2.5218246910180744,1.337710201643404,61;135;195;105,0.40000000000205155,0.3966209366518314,0.3949487039627952,0.9990600125040515,True,0.008447658375507039,False,False,0.0006633186393241175,0.3471314206034675,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,B_static_observed,3,radial,2.223,0.3,5.0,1.614760048350458,True,0.019919482672503645,0.27374383796513435,1.2357484397758611,2.3793685191209026,1.37602311839515,61;135;195;105,0.40000000000205155,0.3941357665709078,0.3942569147625493,0.9994887163368263,True,0.01466058357778413,False,False,0.0005180708692087421,0.253579570522286,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_static_observed,4,radial,2.223,0.7,0.0,0.1988001494219201,True,0.02167895033234817,0.9344299876569242,1.5139528919804013,2.1531854572189495,1.1399467775461483,61;135;195;105,0.40000000000205155,0.3991634131835925,0.39707844476945664,0.9989646447812668,True,0.0020914670461369004,False,False,0.0015952578282876217,0.2254687292911974,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,B_static_observed,5,radial,2.223,0.7,5.0,1.5614251050278782,True,0.023384991926900446,0.23994544029032241,1.0998033629261763,2.0365127505484653,1.1434858857974397,61;135;195;105,0.40000000000205155,0.40695320776666327,0.4068732640322717,0.9994946123062018,True,0.017383019411440156,False,False,0.00038198072784945136,0.3554217993566216,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_static_observed,6,radial,2.223,0.7,0.0,0.21314624428172596,True,0.02262887423703572,0.9351543971198473,1.5255649564374274,2.19783506934169,1.157314935855217,61;135;195;105,0.40000000000205155,0.400945713879517,0.3984854109677094,0.9990717263320402,True,0.0023642846936514947,False,False,0.0016615585044599257,0.37850491217005344,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,B_static_observed,7,radial,2.223,0.7,5.0,1.5621120226760024,True,0.022964001275505228,0.23860851894979204,1.0694187495577268,1.9997407058264836,1.137896015350121,61;135;195;105,0.40000000000205155,0.399392905112405,0.40176727508120635,0.9993692397115227,True,0.001517737224108599,False,False,0.0032784850625856565,0.08250230265671657,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_slow_OU,0,radial,2.223,0.3,0.0,0.2298329365783628,True,0.019151130510573044,1.1237882247038522,1.8447070617944723,2.663990816373453,1.4141635960259078,61;135;195;105,0.40000000000205155,0.40152672407586004,0.4021899081091152,0.9992778035578413,True,0.0038168101845016595,False,False,0.00015538760225797255,0.10409781876011773,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,B_slow_OU,1,radial,2.223,0.3,5.0,1.501866362006077,True,0.019332949371379506,0.30271911930709045,1.2836312770481981,2.330450965992141,1.3592274129508886,61;135;195;105,0.40000000000205155,0.40203216108877765,0.3986988757250052,0.9984440497826742,True,0.005080402716789201,False,False,0.010259491276482624,0.6910405660449861,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_slow_OU,2,radial,2.223,0.3,0.0,0.22411733084152669,True,0.02117783250453451,1.0503754297131103,1.690239615403264,2.423843175496343,1.3142484524646236,61;135;195;105,0.40000000000205155,0.4005471659497254,0.3999596153748782,0.9992385611888791,True,0.0013679148691775952,False,False,7.540217844270725e-05,0.07026833537778032,0.33534259;0.40000000;0.46297132,False,B,abstain
calibration,B_slow_OU,3,radial,2.223,0.3,5.0,1.6425985622050625,True,0.019697365993537594,0.2936510964310685,1.2923570240758886,2.429312170522279,1.5177600535462432,61;135;195;105,0.40000000000205155,0.40160408034655887,0.4038918034917858,0.998791178025878,True,0.0040102008612477305,False,False,0.0006099100069880681,0.19420164752109034,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_slow_OU,4,radial,2.223,0.7,0.0,0.3698576303300536,True,0.022578796550480357,1.0528487191960443,1.8114011268430839,2.4191421935811097,1.5240285438971823,61;135;195;105,0.40000000000205155,0.40041940424074585,0.4004010765088158,0.9994275778051269,True,0.001048510596730369,False,False,0.00024116888060199404,-0.18311754471651845,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_slow_OU,5,radial,2.223,0.7,5.0,1.6475539889723287,True,0.021619136079857798,0.3101899712945859,1.2232249938231834,2.291399905510151,1.6112070690317069,61;135;195;105,0.40000000000205155,0.39363208214477924,0.3932464629981595,0.9996602446494981,True,0.015919794643099124,False,False,7.939215929908539e-05,0.015302018127085464,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_slow_OU,6,radial,2.223,0.7,0.0,0.3177469016704373,True,0.02254074260097648,1.0038427660074327,1.7306796208487027,2.5980220201319537,1.3793085227404445,61;135;195;105,0.40000000000205155,0.39850570499192717,0.398455114258159,0.999318340383036,True,0.0037357375252917904,False,False,0.00010375142603791243,0.28680515365153614,0.33534259;0.40000000;0.46297132,False,abstain,abstain
calibration,B_slow_OU,7,radial,2.223,0.7,5.0,1.5532536062200661,True,0.022830888426380116,0.3067387708731133,1.2616583894415638,2.3386738228848745,1.4499003115129012,61;135;195;105,0.40000000000205155,0.39309180620116324,0.3949543778056385,0.9990242589973325,True,0.01727048450213219,False,False,0.00824518704556132,0.050387137369523695,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,0,radial,3.0,1.0,0.0,0.3101879842359249,True,0.021450199117593265,1.008696410365418,1.8273329571489303,2.671703342612808,1.3755405740680342,61;135;195;105,,0.39920965252700386,0.3989544673784801,0.9994605223107927,True,,False,False,0.00010618519690919204,0.22974483655448744,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,1,radial,3.0,1.0,5.0,1.5002595674270456,True,0.020298770882118324,0.29114337551430114,1.4021201812803883,2.5929518925079953,1.305152815138207,61;135;195;105,,0.3997954062940974,0.39948405053182817,0.9996579959527145,True,,False,False,0.0004967975205572017,0.21431022291294527,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,2,radial,3.0,1.0,0.0,0.28941414092925943,True,0.021719448294703708,1.0593541923365273,1.8316966127214394,2.6354719075478172,1.4149208750948288,61;135;195;105,,0.4011133558244797,0.4026956290368851,0.9991403686235447,True,,False,False,4.218648178766493e-05,0.3198187389297801,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,3,radial,3.0,1.0,5.0,1.5986917757701082,True,0.02100770251988422,0.28596557382445426,1.3710282853953124,2.4684249750984755,1.4145450063716691,61;135;195;105,,0.40259075104855907,0.4030936451597707,0.9990656912118965,True,,False,False,0.0032676887779898856,-0.16769572667444974,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,A_band,4,radial,3.0,1.0,0.0,0.30245769612898,True,0.021474164331823718,1.063363569493457,1.8693772497792462,2.7171514456959387,1.4389227726812872,61;135;195;105,,0.4005066081565357,0.4013349508530219,0.9993174996448412,True,,False,False,2.4976710117585732e-05,0.19064002495588045,0.33534259;0.40000000;0.46297132,False,abstain,abstain
