run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction,dominant_source_class,block
near,0,1200.0,431048.4451018913,4012406.2292963364,11.916171073913574,waverider-17m,18.0,116.66998696171918,124.17824001860234,True,119.59511870640497,-0.024458621525070168,0.03832197636300272,0.300119549036026,0.16207276736493936,3,0_1
near,0,1250.0,431096.03692935564,4012421.559591787,12.346542358398438,waverider-17m,18.0,116.7725080882132,124.17824001860234,True,117.43622836338979,-0.005651750609043771,0.057409981137595434,0.300119549036026,0.2520205731080088,3,0_1
near,0,1300.0,431143.62875682005,4012436.8898872375,12.77857494354248,waverider-17m,18.0,117.17404692182193,124.17824001860234,True,118.7246376811593,-0.01306039580008278,0.04593488296918591,0.300119549036026,0.34423218221895663,3,0_1
near,0,1350.0,431191.22058428446,4012452.220182688,13.209573745727539,waverider-17m,18.0,127.12215135429635,119.85013472883753,True,120.74762620962862,0.05279213633236135,-0.007432787781955774,0.300119549036026,0.4384417493568541,3,0_1
near,0,1400.0,431238.81241174886,4012467.5504781385,13.633206367492676,waverider-17m,18.0,128.23683887756007,114.4866804479891,True,132.78489093990004,-0.03425127685949192,-0.13780340792080714,0.300119549036026,0.5321809488782641,4,0_1
near,0,1450.0,431286.40423921327,4012482.880773589,14.03930377960205,waverider-17m,18.0,138.34332789670992,117.80582228695597,True,120.77017704610992,0.14550902615544392,-0.02454542033189333,0.300119549036026,0.6247703050349136,4,0_1
near,0,1500.0,431333.9960666777,4012498.211069039,14.426584243774414,waverider-17m,18.0,140.56152996836911,117.80582228695597,True,134.29508196721298,0.046661783211733976,-0.12278379400582007,0.300119549036026,0.7175432144170651,4,0_1
near,0,1550.0,431381.5878941421,4012513.5413644896,14.784248352050781,waverider-17m,18.0,147.33486166698341,127.12026448932349,True,134.29508196721298,0.09709796895581024,-0.05342576491104245,0.300119549036026,0.8117647058823529,4,0_1
near,0,1600.0,431429.1797216065,4012528.87165994,15.10550594329834,waverider-17m,18.0,166.53168625106488,134.9238468338506,True,134.29508196721298,0.24004307389098734,0.0046819649493279325,0.300119549036026,0.8980493191019506,4,0_1
near,0,1650.0,431476.7715490709,4012544.2019553906,15.384078979492188,waverider-17m,18.0,162.9247163719475,129.52689296049664,False,134.29508196721298,0.2131845335313487,-0.03550531364864462,0.300119549036026,0.9698529411764706,4,0_1
near,0,1700.0,431524.3633765353,4012559.532250841,15.605253219604492,waverider-17m,18.0,159.63373145769333,144.46915788367363,False,134.29508196721298,0.18867890855948533,0.0757591102177857,0.300119549036026,0.9985294117647059,4,0_1
near,0,1750.0,431571.9552039997,4012574.8625462917,15.767667770385742,waverider-17m,18.0,117.16347476354535,190.5173523290238,True,134.29508196721298,-0.12756689934371657,0.4186472768640701,0.300119549036026,0.9996322177271055,4,0_1
near,0,1800.0,431619.5470314641,4012590.192841742,15.901543617248535,waverider-17m,18.0,139.8300113529473,200.82292238150043,True,134.29508196721298,0.04121468414670337,0.49538553042865474,0.300119549036026,1.0,4,0_1
