collect_name,collect_id,acquisition_key,datetime_utc,station_id,station_km,water_body,current_risk,gebco_depth_m,ocean_fraction,coast_status,coast_distance_m,roi_m,roi_lat,roi_lon,duration_s,incidence_deg,view_azimuth_deg,local_range_axis_deg,sicd_bytes,cphd_bytes,min_complex_GB
2023-07-05-15-31-02_UMBRA-04,7e6c56c1-9028-4539-a0dc-6c1fcd3dbb0d,collect:7e6c56c1-9028-4539-a0dc-6c1fcd3dbb0d,2023-07-05T15:31:02Z,44087,6.5305978029449845,Hampton Roads,ALTO (marea),-10.0,1.0,lower_bound_beyond_footprint,,1500.0,36.96925475907257,-76.16796037938506,2.0,58.86034919312384,298.1533446701172,118.15334467011718,241548534.0,2319271232.0,0.241548534
2023-07-13-15-18-26_UMBRA-04,05ae2840-c67e-4cb9-bc49-38bde47d6a4c,collect:05ae2840-c67e-4cb9-bc49-38bde47d6a4c,2023-07-13T15:18:26.200000Z,44087,6.530827783492814,Hampton Roads,ALTO (marea),-10.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,36.969253967818624,-76.16796670969839,6.399999,48.0774974546915,314.3659276965302,134.3659276965302,4599968004.0,23521208768.0,4.599968004
2023-01-23-02-45-07_UMBRA-04,3589be58-8d5e-4a0c-a2ae-a2865fa5da46,collect:3589be58-8d5e-4a0c-a2ae-a2865fa5da46,2023-01-23T02:45:07Z,44063,7.021397711582972,estuario Chesapeake,ALTO (marea),-17.0,0.9999999999999999,lower_bound_beyond_footprint,,1500.0,38.991824156596714,-76.37573005953489,4.0,58.89425170445302,247.39111717390148,67.39111717390148,246000745.0,1342119488.0,0.246000745
2025-06-11-01-55-01_UMBRA-05,917f74af-a6e0-4f88-a839-c8de95b1ed21,collect:917f74af-a6e0-4f88-a839-c8de95b1ed21,2025-06-11T01:55:01.299998Z,44063,7.114556169885046,estuario Chesapeake,ALTO (marea),-17.0,0.9997247032002163,local_exact,3446.8401858404122,1500.0,38.99199598973859,-76.3746327524114,8.599997,18.085541923758527,56.446299683939095,236.4462996839391,7575891022.0,,7.575891022
2025-05-31-03-03-10_UMBRA-08,d3a492a6-5aa1-4f8b-8de0-c7eb47581e1e,collect:d3a492a6-5aa1-4f8b-8de0-c7eb47581e1e,2025-05-31T03:03:10.400000Z,44063,7.136241004538794,estuario Chesapeake,ALTO (marea),-17.0,0.9994574849000252,local_exact,3411.568359643427,1500.0,38.991994020759,-76.37435016484395,8.8,22.735621370907992,61.69223907622645,241.69223907622646,6944571067.0,,6.944571067
2025-08-13-02-20-45_UMBRA-05,5200ff82-872c-4823-9238-5b825d24e9fd,collect:5200ff82-872c-4823-9238-5b825d24e9fd,2025-08-13T02:20:45.600000Z,44063,7.136809060531425,estuario Chesapeake,ALTO (marea),-17.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,38.9919954537418,-76.37434373148989,9.2,36.09814352916978,263.45651417498505,83.45651417498505,5903303146.0,21601065472.0,5.903303146
2025-06-14-14-36-45_UMBRA-05,d262a35a-32c6-4dd0-a82c-88d41284e6c7,collect:d262a35a-32c6-4dd0-a82c-88d41284e6c7,2025-06-14T14:36:45.100000Z,44063,7.1368218868738955,estuario Chesapeake,ALTO (marea),-17.0,1.0,lower_bound_beyond_footprint,,1500.0,38.99199796369378,-76.37434519889884,10.199999,37.08978711512735,129.51679517777396,309.51679517777393,7748069179.0,,7.748069179
2025-09-12-15-09-03_UMBRA-05,03fb69e8-3514-413a-b819-941e8a01d43e,collect:03fb69e8-3514-413a-b819-941e8a01d43e,2025-09-12T15:09:03.699999Z,44063,7.136867323868751,estuario Chesapeake,ALTO (marea),-17.0,1.0,lower_bound_beyond_footprint,,1500.0,38.99199808172909,-76.37434468653464,13.399998,35.92843598082431,319.9024552451761,139.9024552451761,16904797367.0,55517613352.0,16.904797367
2025-09-12-03-47-15_UMBRA-09,b5271cff-3d42-4f6e-b8a2-5352d6d015d9,collect:b5271cff-3d42-4f6e-b8a2-5352d6d015d9,2025-09-12T03:47:15.200000Z,44063,7.136931755271505,estuario Chesapeake,ALTO (marea),-17.0,1.0,lower_bound_beyond_footprint,,1500.0,38.991999212584034,-76.37434458715289,16.4,37.598394096159005,225.63092979468246,45.63092979468246,16301075710.0,,16.30107571
2025-04-22-01-54-48_UMBRA-05,e3db7471-69d2-4e5b-96a0-874526f94019,collect:e3db7471-69d2-4e5b-96a0-874526f94019,2025-04-22T01:54:48.699999Z,44060,23.058460611661577,Long Island Sound,ALTO (marea),-7.0,1.0,lower_bound_beyond_footprint,,1500.0,41.25399507366103,-72.34259176745924,1.399998,40.62748809986497,291.37067005770007,111.37067005770007,490711738.0,,0.490711738
2025-04-22-01-54-34_UMBRA-05,18a9b2a8-a518-4dd8-a5aa-5efa47bbc423,collect:18a9b2a8-a518-4dd8-a5aa-5efa47bbc423,2025-04-22T01:54:34.600000Z,44060,23.058608222472767,Long Island Sound,ALTO (marea),-7.0,0.9992267959920442,local_exact,3389.1289713593046,1500.0,41.253997807162975,-72.34259369881143,1.199999,37.163852124001416,275.86165739433125,95.86165739433125,421712685.0,,0.421712685
2025-04-22-01-53-41_UMBRA-05,933f22e5-f1e8-4e7b-b401-290d0f6863fd,collect:933f22e5-f1e8-4e7b-b401-290d0f6863fd,2025-04-22T01:53:41Z,44060,23.058809771107526,Long Island Sound,ALTO (marea),-7.0,1.0,lower_bound_beyond_footprint,,1500.0,41.25400365196194,-72.34259646230427,2.0,45.54374551605163,216.31630126323356,36.316301263233555,532451893.0,,0.532451893
2025-04-22-01-54-19_UMBRA-05,c84e1e4a-664c-412b-a80e-9c7683c0b49e,collect:c84e1e4a-664c-412b-a80e-9c7683c0b49e,2025-04-22T01:54:19.600000Z,44060,23.058944514217696,Long Island Sound,ALTO (marea),-7.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,41.25399773977994,-72.34259772168487,1.2,36.105863042846366,256.6168010885368,76.61680108853682,368046761.0,,0.368046761
2025-04-22-01-54-02_UMBRA-05,fda2828e-f1f4-464e-a222-fe85f94b6b25,collect:fda2828e-f1f4-464e-a222-fe85f94b6b25,2025-04-22T01:54:02.699999Z,44060,23.059230664976575,Long Island Sound,ALTO (marea),-7.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,41.254003535729595,-72.34260149531384,1.399998,38.676767228536114,235.75555001854667,55.75555001854667,456584891.0,,0.456584891
