k_peak_cycles_per_m,wavelength_m,bearing_deg_mod_180,difference_from_frozen_bearing_deg,radial_fwhm_cycles_per_m,radial_fwhm_fraction_of_k,native_delta_f_parallel_cycles_per_m,zero_padding_factor,peak_power_arbitrary,roi,L_parallel_m,L_perpendicular_m,look_index,method,spatial_support
0.006526968528430236,153.21048288254948,73.0674441946608,6.768279505339208,0.002809159147774661,0.430392629524487,0.001851851851851852,2,657773467.1341946,nearshore_anchored_0540x0650,540,650,3,mean_hann,nearshore_edge_anchored
0.0074472411318316735,134.27791343101666,73.90702815378485,5.9286955462151525,0.0018765638031693083,0.2519810719097478,0.001851851851851852,2,3702399197.062763,nearshore_anchored_0540x0650,540,650,3,plane_tukey10,nearshore_edge_anchored
0.006526968528430236,153.21048288254948,73.0674441946608,6.768279505339208,0.002809159147774661,0.430392629524487,0.001851851851851852,2,3598996300.060597,nearshore_anchored_0540x0650,540,650,3,quadratic_tukey25,nearshore_edge_anchored
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0021040260823413457,0.2740501642233661,0.001388888888888889,2,242717229.0360232,rot_k_0720x0650,720,650,1,mean_hann,nested_common_center
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0021040260823413457,0.2740501642233661,0.001388888888888889,2,2962860391.9754105,rot_k_0720x0650,720,650,1,plane_tukey10,nested_common_center
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0021040260823413457,0.2740501642233661,0.001388888888888889,2,2509269405.3147173,rot_k_0720x0650,720,650,1,quadratic_tukey25,nested_common_center
0.00767752169864218,130.2503645384495,74.08546303940513,5.750260660594876,0.0035029190992493745,0.4562564896259282,0.001388888888888889,2,1096824493.317513,nearshore_anchored_0720x0650,720,650,1,mean_hann,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0034801728713321706,0.45558626679257497,0.001388888888888889,2,9929843014.544697,nearshore_anchored_0720x0650,720,650,1,plane_tukey10,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0034801728713321706,0.45558626679257497,0.001388888888888889,2,7569844874.289846,nearshore_anchored_0720x0650,720,650,1,quadratic_tukey25,nearshore_edge_anchored
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.002809159147774661,0.36589400304416975,0.001388888888888889,2,317257171.0884508,rot_k_0720x0650,720,650,2,mean_hann,nested_common_center
0.008368760984803892,119.49200148215648,85.10961965735177,5.273895957351769,0.002809159147774661,0.3356720490495032,0.001388888888888889,2,1717045027.286032,rot_k_0720x0650,720,650,2,plane_tukey10,nested_common_center
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0021040260823413457,0.2740501642233661,0.001388888888888889,2,1751666490.3482294,rot_k_0720x0650,720,650,2,quadratic_tukey25,nested_common_center
0.006986918105882356,143.12462016093906,73.51488209841118,6.320841601588825,0.004196679050724088,0.6006480950722555,0.001388888888888889,2,1257762347.2869606,nearshore_anchored_0720x0650,720,650,2,mean_hann,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0034801728713321706,0.45558626679257497,0.001388888888888889,2,11096772821.263346,nearshore_anchored_0720x0650,720,650,2,plane_tukey10,nearshore_edge_anchored
0.00767752169864218,130.2503645384495,74.08546303940513,5.750260660594876,0.0035029190992493745,0.4562564896259282,0.001388888888888889,2,9024646547.002539,nearshore_anchored_0720x0650,720,650,2,quadratic_tukey25,nearshore_edge_anchored
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0021040260823413457,0.2740501642233661,0.001388888888888889,2,67607276.39821404,rot_k_0720x0650,720,650,3,mean_hann,nested_common_center
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0035029190992493745,0.45625648962592824,0.001388888888888889,2,361928794.5516479,rot_k_0720x0650,720,650,3,plane_tukey10,nested_common_center
0.007677521698642179,130.2503645384495,85.58598436059488,5.750260660594876,0.0027977860338160594,0.3644126508051246,0.001388888888888889,2,370774151.8840502,rot_k_0720x0650,720,650,3,quadratic_tukey25,nested_common_center
0.006986918105882356,143.12462016093906,73.51488209841118,6.320841601588825,0.0027977860338160594,0.4004320633815037,0.001388888888888889,2,645120213.3247453,nearshore_anchored_0720x0650,720,650,3,mean_hann,nearshore_edge_anchored
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.002786412919857457,0.3647667822358852,0.001388888888888889,2,4020973927.430309,nearshore_anchored_0720x0650,720,650,3,plane_tukey10,nearshore_edge_anchored
0.006986918105882356,143.12462016093906,73.51488209841118,6.320841601588825,0.0027977860338160594,0.4004320633815037,0.001388888888888889,2,3671949333.11386,nearshore_anchored_0720x0650,720,650,3,quadratic_tukey25,nearshore_edge_anchored
0.007815724095490141,127.9471982099552,85.48397107373528,5.648247373735273,0.001694593979831677,0.21681855182292042,0.0011111111111111111,2,440170032.2982781,rot_k_0900x0650,900,650,1,mean_hann,nested_common_center
0.007815724095490141,127.9471982099552,85.48397107373528,5.648247373735273,0.002251876563803169,0.2881212970532769,0.0011111111111111111,2,3369606147.110036,rot_k_0900x0650,900,650,1,plane_tukey10,nested_common_center
0.007815724095490141,127.9471982099552,85.48397107373528,5.648247373735273,0.002251876563803169,0.2881212970532769,0.0011111111111111111,2,3125778015.094276,rot_k_0900x0650,900,650,1,quadratic_tukey25,nested_common_center
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.0022405034498445683,0.2880647292657302,0.0011111111111111111,2,1153749119.5325632,nearshore_anchored_0900x0650,900,650,1,mean_hann,nearshore_edge_anchored
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.0016832208658730764,0.21641411132653837,0.0011111111111111111,2,11016187289.791157,nearshore_anchored_0900x0650,900,650,1,plane_tukey10,nearshore_edge_anchored
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.0016832208658730764,0.21641411132653837,0.0011111111111111111,2,7407064504.128479,nearshore_anchored_0900x0650,900,650,1,quadratic_tukey25,nearshore_edge_anchored
0.007815724095490141,127.9471982099552,85.48397107373528,5.648247373735273,0.002251876563803168,0.28812129705327677,0.0011111111111111111,2,407872510.4211267,rot_k_0900x0650,900,650,2,mean_hann,nested_common_center
0.008368760984803892,119.49200148215648,85.10961965735177,5.273895957351769,0.0022405034498445674,0.2677222415496038,0.0011111111111111111,2,2047021658.7996297,rot_k_0900x0650,900,650,2,plane_tukey10,nested_common_center
0.008368760984803892,119.49200148215648,85.10961965735177,5.273895957351769,0.0022405034498445674,0.2677222415496038,0.0011111111111111111,2,1721708452.8281193,rot_k_0900x0650,900,650,2,quadratic_tukey25,nested_common_center
0.007815724095490143,127.94719820995518,74.18747632626474,5.648247373735259,0.001694593979831677,0.21681855182292037,0.0011111111111111111,2,1071791458.8267024,nearshore_anchored_0900x0650,900,650,2,mean_hann,nearshore_edge_anchored
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.003343695503828949,0.4299037076351505,0.0011111111111111111,2,11817615419.817547,nearshore_anchored_0900x0650,900,650,2,plane_tukey10,nearshore_edge_anchored
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.003343695503828949,0.4299037076351505,0.0011111111111111111,2,9273834611.168074,nearshore_anchored_0900x0650,900,650,2,quadratic_tukey25,nearshore_edge_anchored
0.007815724095490141,127.9471982099552,85.48397107373528,5.648247373735273,0.00280915914777466,0.3594240422836333,0.0011111111111111111,2,93102632.91391687,rot_k_0900x0650,900,650,3,mean_hann,nested_common_center
0.008333333333333335,119.99999999999997,79.8357237,0.0,0.0027977860338160585,0.33573432405792697,0.0011111111111111111,2,864461209.8519378,rot_k_0900x0650,900,650,3,plane_tukey10,nested_common_center
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.0027977860338160585,0.35971534720492176,0.0011111111111111111,2,558225992.8043666,rot_k_0900x0650,900,650,3,quadratic_tukey25,nested_common_center
0.007263071650719952,137.68279429005426,73.75613474216152,6.079588957838482,0.0033550686177875495,0.46193522233185985,0.0011111111111111111,2,463141875.44500244,nearshore_anchored_0900x0650,900,650,3,mean_hann,nearshore_edge_anchored
0.007777777777777778,128.57142857142856,79.8357237,0.0,0.002786412919857458,0.3582530896959588,0.0011111111111111111,2,3962678548.529489,nearshore_anchored_0900x0650,900,650,3,plane_tukey10,nearshore_edge_anchored
0.007263071650719952,137.68279429005426,73.75613474216152,6.079588957838482,0.0027977860338160594,0.3852069989614833,0.0011111111111111111,2,3460972430.228702,nearshore_anchored_0900x0650,900,650,3,quadratic_tukey25,nearshore_edge_anchored
0.007907872390417996,126.45626416679465,85.41794328570353,5.582219585703527,0.0013988930169080305,0.17689878488720623,0.000925925925925926,2,636798535.3904345,rot_k_1080x0650,1080,650,1,mean_hann,nested_common_center
0.008368760984803892,119.49200148215648,85.10961965735177,5.273895957351769,0.0023428614754719846,0.2799532068995857,0.000925925925925926,2,4181238315.489104,rot_k_1080x0650,1080,650,1,plane_tukey10,nested_common_center
0.008368760984803892,119.49200148215648,85.10961965735177,5.273895957351769,0.002809159147774661,0.3356720490495032,0.000925925925925926,2,3268186012.402476,rot_k_1080x0650,1080,650,1,quadratic_tukey25,nested_common_center
0.007870370370370371,127.05882352941175,79.8357237,0.0,0.001865190689210706,0.23698893462912496,0.000925925925925926,2,1145506913.7886217,nearshore_anchored_1080x0650,1080,650,1,mean_hann,nearshore_edge_anchored
0.007870370370370371,127.05882352941175,79.8357237,0.0,0.001865190689210706,0.23698893462912496,0.000925925925925926,2,11702394208.85552,nearshore_anchored_1080x0650,1080,650,1,plane_tukey10,nearshore_edge_anchored
0.007870370370370371,127.05882352941175,79.8357237,0.0,0.0013988930169080297,0.17774170097184375,0.000925925925925926,2,7859963658.090381,nearshore_anchored_1080x0650,1080,650,1,quadratic_tukey25,nearshore_edge_anchored
0.007907872390417996,126.45626416679465,85.41794328570353,5.582219585703527,0.0027977860338160594,0.35379756977441223,0.000925925925925926,2,482463637.77591455,rot_k_1080x0650,1080,650,2,mean_hann,nested_common_center
0.005608557168042024,178.29897601794528,71.95258438327028,7.883139316729725,0.0014216392448252336,0.25347682161926416,0.000925925925925926,2,5639904074.638544,rot_k_1080x0650,1080,650,2,plane_tukey10,nested_common_center
0.005608557168042024,178.29897601794528,71.95258438327028,7.883139316729725,0.0014216392448252336,0.25347682161926416,0.000925925925925926,2,3427072338.410621,rot_k_1080x0650,1080,650,2,quadratic_tukey25,nested_common_center
0.007870370370370371,127.05882352941175,79.8357237,0.0,0.001865190689210706,0.23698893462912496,0.000925925925925926,2,1040289021.9411538,nearshore_anchored_1080x0650,1080,650,2,mean_hann,nearshore_edge_anchored
0.006018518518518519,166.15384615384613,79.8357237,0.0,0.0032527105921601332,0.5404503753127605,0.000925925925925926,2,11873614287.75122,nearshore_anchored_1080x0650,1080,650,2,plane_tukey10,nearshore_edge_anchored
0.005555555555555556,180.0,79.8357237,0.0,0.0037190082644628095,0.6694214876033057,0.000925925925925926,2,9078946443.242054,nearshore_anchored_1080x0650,1080,650,2,quadratic_tukey25,nearshore_edge_anchored
0.007870370370370371,127.05882352941175,79.8357237,0.0,0.001865190689210706,0.23698893462912496,0.000925925925925926,2,128781579.52641205,rot_k_1080x0650,1080,650,3,mean_hann,nested_common_center
0.007870370370370371,127.05882352941175,79.8357237,0.0,0.001865190689210706,0.23698893462912496,0.000925925925925926,2,1579314341.868969,rot_k_1080x0650,1080,650,3,plane_tukey10,nested_common_center
0.007907872390417996,126.45626416679465,74.25350411429648,5.582219585703527,0.004992797027826219,0.6313704598819795,0.000925925925925926,2,1174230968.105137,rot_k_1080x0650,1080,650,3,quadratic_tukey25,nested_common_center
0.007907872390417996,126.45626416679465,74.25350411429648,5.582219585703527,0.0027977860338160594,0.35379756977441223,0.000925925925925926,2,359163351.9858026,nearshore_anchored_1080x0650,1080,650,3,mean_hann,nearshore_edge_anchored
0.007407407407407408,135.0,79.8357237,0.0,0.0023201152475547807,0.3132155584198954,0.000925925925925926,2,4055623720.23476,nearshore_anchored_1080x0650,1080,650,3,plane_tukey10,nearshore_edge_anchored
0.0074472411318316735,134.27791343101666,73.90702815378485,5.9286955462151525,0.002809159147774661,0.3772080288588345,0.000925925925925926,2,3459060068.42797,nearshore_anchored_1080x0650,1080,650,3,quadratic_tukey25,nearshore_edge_anchored
0.007973698903431508,125.41231016004964,85.37171497203046,5.535991272030458,0.0016149821821214647,0.20253864632717092,0.0007936507936507937,2,833115477.7807903,rot_k_1260x0650,1260,650,1,mean_hann,nested_common_center
0.008333333333333335,119.99999999999997,79.8357237,0.0,0.0020016680567139285,0.24020016680567138,0.0007936507936507937,2,5752263485.177352,rot_k_1260x0650,1260,650,1,plane_tukey10,nested_common_center
0.008333333333333335,119.99999999999997,79.8357237,0.0,0.002399727045264994,0.2879672454317992,0.0007936507936507937,2,4117075931.445798,rot_k_1260x0650,1260,650,1,quadratic_tukey25,nested_common_center
0.007973698903431508,125.41231016004964,85.37171497203046,5.535991272030458,0.0012169231935703993,0.15261714899300904,0.0007936507936507937,2,1163707399.5688806,nearshore_anchored_1260x0650,1260,650,1,mean_hann,nearshore_edge_anchored
