transect,distance_m,E,N,lon,lat,status,wavelength_smoothed_m,swath,burst,sample,line,n_samples,n_lines,ground_spacing_sample_m,ground_spacing_line_m,bright_fraction,affine_residual_max_m,spectrum_method,incidence_deg,n_spectra_averaged,peak_status,n_blobs,argmax_wavelength_m,argmax_axial_bearing_deg,wavelength_m,k_rad_m,axial_bearing_deg,blob_area_px,lobe_to_annulus,identifiable,depth_T11.765_m,depth_T11.765_U-0.5_m,depth_T11.765_U+0.5_m
0,1850.0,433199.3113835206,4008237.4829064477,-75.74321091753907,36.21667660940959,ok,119.7900660542228,IW,0,22298.277503862162,1667.7990750119934,52,51,9.823946075848925,10.133613560571293,0.0,0.05000911929422044,affine_dtft,44.204839523868905,5,identified,1,126.06559399714068,64.71994374517143,127.12026448932349,0.04942709435368816,65.55604521958325,3,3.3536300523795646,True,11.912802284518516,13.524489440934639,10.507517724765744
0,1900.0,433246.25155461486,4008254.7055757428,-75.74269017777529,36.21683511148916,ok,120.07821891396773,IW,0,22303.27547805594,1668.7436822158124,52,51,9.822922443636786,10.13365906459452,0.0,0.049221491456449586,affine_dtft,44.20747117337139,5,identified,1,121.24287205855258,61.781638373566416,120.47058823529395,0.05215534678811187,61.92751306414691,4,3.942358334164409,True,11.978305473760335,13.597596846318035,10.566791811286894
0,1950.0,433293.19172570907,4008271.928245038,-75.74216943587606,36.216993611322756,ok,118.71154521242288,IW,0,22308.273971173992,1669.6882033515483,52,51,9.821918108241467,10.133704508748023,0.0,0.04844607131326351,affine_dtft,44.21010309460536,5,identified,1,118.03422374532627,61.20788205977556,108.54378291265117,0.0578861832394019,57.99461679191643,2,4.432760842932008,True,11.669887245959123,13.253504091600792,10.287642118822488
0,2000.0,433340.1318968033,4008289.150914333,-75.74164869184145,36.21715210891034,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2050.0,433387.0720678975,4008306.373583628,-75.74112794567148,36.21731060425189,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2100.0,433434.01223899174,4008323.596252923,-75.74060719736619,36.21746909734735,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2150.0,433480.95241008594,4008340.818922218,-75.7400864469256,36.21762758819668,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2200.0,433527.89258118015,4008358.041591513,-75.73956569434975,36.21778607679985,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2250.0,433574.83275227435,4008375.264260808,-75.73904493963867,36.217944563156806,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2300.0,433621.7729233686,4008392.486930103,-75.7385241827924,36.218103047267505,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
